,points_above_average
0,0
1,11
2,12
3,13
4,37
5,38
6,39
7,40
8,41
9,42
10,58
11,64
12,72
13,73
14,74
15,75
16,81
17,82
18,98
19,132
20,135
21,138
22,147
23,167
24,169
25,172
26,177
27,178
28,179
29,180
30,181
31,192
32,213
33,215
34,219
35,235
36,240
37,267
38,268
39,269
40,270
41,271
42,272
43,278
44,288
45,289
46,294
47,302
48,303
49,304
50,305
51,310
52,311
53,312
54,322
55,327
56,361
57,364
58,367
59,376
60,391
61,393
62,401
63,402
64,403
65,404
66,405
67,407
68,408
69,409
70,415
71,416
72,433
73,435
74,439
75,455
76,460
