,col_a,col_b,pvalue
359,0,bai_score,0.0026575275045583
2441,0,asrsb_score,0.0005039778854058
360,0,age,0.0001526951461456
697,0,age,0.000165202215876
1021,0,07-01_5,0.0021101925158584
1817,0,07-01_5,0.0023547908011379
2050,0,07-01_5,3.918111923630968e-06
2249,0,07-01_5,3.0933792566636506e-11
2440,0,07-01_5,0.0027204509135377
2588,0,07-01_5,0.0036065637530008
2781,0,07-01_5,0.0002851470612663
2858,0,07-01_5,1.0012313680086393e-18
2909,0,07-01_5,2.247593105899693e-29
1020,0,07-01_4,0.003405160795508
2049,0,07-01_4,0.0010719948327049
2248,0,07-01_4,6.409487360581689e-09
2439,0,07-01_4,0.0044207331550982
2587,0,07-01_4,0.001518519355784
2780,0,07-01_4,0.0013366359250263
2857,0,07-01_4,6.409249203512522e-13
2908,0,07-01_4,1.1874818375806811e-19
1019,0,07-01_3,0.0034245441446696
2048,0,07-01_3,0.000512935717371
2247,0,07-01_3,1.399600896281236e-08
2438,0,07-01_3,0.0023944371601471
2586,0,07-01_3,0.0010849980228491
2779,0,07-01_3,0.0004066419432129
2856,0,07-01_3,5.2555296137301727e-14
2907,0,07-01_3,1.3273439628127985e-19
696,0,07-01_2,0.0011053404731303
1018,0,07-01_2,0.0001396141220003
1306,0,07-01_2,0.000572466729133
1816,0,07-01_2,1.417438803927596e-05
2047,0,07-01_2,1.4899372159841394e-05
2246,0,07-01_2,1.3339033569808777e-17
2585,0,07-01_2,0.0001436673237335
2778,0,07-01_2,0.0003106965698784
2855,0,07-01_2,6.621877580016834e-16
2906,0,07-01_2,1.250242644498675e-34
1017,0,07-01_1,0.0018588896408408
1815,0,07-01_1,0.00055074997308
2046,0,07-01_1,4.583060395510213e-06
2245,0,07-01_1,1.232220288737597e-11
2777,0,07-01_1,0.0006587485303392
2854,0,07-01_1,3.0466463071425026e-18
2905,0,07-01_1,4.312016493630196e-27
358,0,07-01_0,0.0032074895033048
695,0,07-01_0,0.0004175700808666
1814,0,07-01_0,0.0012957038124798
2045,0,07-01_0,4.386904319046332e-09
2244,0,07-01_0,7.799417923518242e-39
2853,0,07-01_0,1.2848540887701566e-25
2904,0,07-01_0,0.0
357,0,07-00_5,0.0001262752887337
1016,0,07-00_5,0.0001343264263855
1564,0,07-00_5,2.8240637112382445e-06
2044,0,07-00_5,5.742831019805976e-12
2243,0,07-00_5,1.218007898218257e-09
2437,0,07-00_5,0.0011176166153834
2852,0,07-00_5,2.350354568238409e-52
356,0,07-00_4,0.0002695616700508
1015,0,07-00_4,2.2258849560274343e-05
1563,0,07-00_4,3.46930054331841e-05
2043,0,07-00_4,1.123640904736426e-09
2242,0,07-00_4,1.7788227821197327e-08
2436,0,07-00_4,0.0027963339727883
2701,0,07-00_4,0.0036207662964777
2776,0,07-00_4,0.004447672375029
2851,0,07-00_4,2.3993394353387706e-37
355,0,07-00_3,0.0004745046011692
1014,0,07-00_3,9.645607985172908e-05
1562,0,07-00_3,9.937299223627766e-05
2042,0,07-00_3,7.117841292095102e-10
2241,0,07-00_3,1.8945411643571137e-08
2435,0,07-00_3,0.0019693651283421
2775,0,07-00_3,0.0019069847184355
2850,0,07-00_3,1.2758829125546222e-40
354,0,07-00_2,3.366335242816469e-07
694,0,07-00_2,5.459580441369156e-06
1013,0,07-00_2,3.0871228329700875e-09
1305,0,07-00_2,0.0002251119232523
1561,0,07-00_2,4.0862622811050245e-11
1813,0,07-00_2,2.4259805947893133e-05
2041,0,07-00_2,1.0022020747259366e-11
2240,0,07-00_2,1.648972487252699e-13
2434,0,07-00_2,1.2785208670949176e-05
2584,0,07-00_2,0.0008107818495883
2700,0,07-00_2,4.1229204899772135e-06
2774,0,07-00_2,0.0009311523003899
2849,0,07-00_2,8.699911585769321e-39
353,0,07-00_1,6.526962406868272e-05
1012,0,07-00_1,1.3586286277941575e-05
1560,0,07-00_1,1.0470451552538262e-05
2040,0,07-00_1,2.9464793020923568e-12
2239,0,07-00_1,6.319408922215767e-10
2699,0,07-00_1,0.0036992087252459
2848,0,07-00_1,1.552390262116151e-51
352,0,07-00_0,4.652419741354403e-07
693,0,07-00_0,0.0002840439657424
1011,0,07-00_0,0.0001279745433641
1559,0,07-00_0,1.9940909443279977e-06
1812,0,07-00_0,0.0029085561634956
2039,0,07-00_0,2.795021554904434e-20
2238,0,07-00_0,5.246244752308571e-15
2433,0,07-00_0,0.001148202905545
2698,0,07-00_0,0.0001073683288819
2847,0,07-00_0,0.0
21,0,06-01_5,1.1141844114173157e-07
42,0,06-01_5,1.1141844114173157e-07
692,0,06-01_5,2.3541497231635563e-12
1010,0,06-01_5,0.0008961674909312
1558,0,06-01_5,0.0006834185334738
2038,0,06-01_5,0.0001251195648826
2237,0,06-01_5,0.0023706537807475
2583,0,06-01_5,2.844706586789504e-06
2697,0,06-01_5,6.95120252832143e-07
2773,0,06-01_5,4.423651148994047e-21
20,0,06-01_4,0.000614529571795
41,0,06-01_4,0.000614529571795
691,0,06-01_4,1.6445273474231467e-10
1009,0,06-01_4,0.00017844244933
1304,0,06-01_4,0.0030156230366031
1557,0,06-01_4,8.737736679749492e-05
2582,0,06-01_4,4.769471629158365e-05
2696,0,06-01_4,1.0806032978126695e-05
2772,0,06-01_4,1.7695943150673364e-13
19,0,06-01_3,3.4075151157009715e-05
40,0,06-01_3,3.4075151157009715e-05
690,0,06-01_3,3.031145493497592e-12
1008,0,06-01_3,0.0004838523762208
1303,0,06-01_3,0.003236809534336
1556,0,06-01_3,8.080885468515726e-05
2037,0,06-01_3,0.0002884040928994
2581,0,06-01_3,6.405208478296271e-06
2695,0,06-01_3,1.978936006042601e-06
2771,0,06-01_3,4.449783600334208e-19
18,0,06-01_2,6.099625002430307e-09
39,0,06-01_2,6.099625002430307e-09
689,0,06-01_2,0.0049661233230583
2236,0,06-01_2,0.0002518547728946
2580,0,06-01_2,0.0002248485837416
2770,0,06-01_2,4.5637793222483474e-24
17,0,06-01_1,3.6221125728345294e-05
38,0,06-01_1,3.6221125728345294e-05
688,0,06-01_1,1.0363564393155676e-10
1007,0,06-01_1,0.0001145927143488
1555,0,06-01_1,0.0004656031605342
2579,0,06-01_1,4.501424083135423e-06
2694,0,06-01_1,4.6118135984307285e-05
2769,0,06-01_1,5.420655074412081e-15
16,0,06-01_0,2.7968913831752675e-16
37,0,06-01_0,2.7968913831752675e-16
351,0,06-01_0,3.25092709356636e-05
687,0,06-01_0,7.204731809706246e-19
1006,0,06-01_0,3.291812041876541e-07
1302,0,06-01_0,3.8571697696453375e-08
1554,0,06-01_0,3.2398982049774905e-05
1811,0,06-01_0,5.934383588752213e-10
2036,0,06-01_0,3.6877446281633325e-05
2235,0,06-01_0,1.3661593750109397e-08
2432,0,06-01_0,0.0008878711950414
2578,0,06-01_0,1.0424719811901431e-11
2693,0,06-01_0,9.138655881619984e-20
2768,0,06-01_0,0.0
686,0,06-00_5,4.825412368754992e-06
1005,0,06-00_5,0.0006596061683308
1301,0,06-00_5,0.0016088787893315
2035,0,06-00_5,1.905166863966424e-09
2234,0,06-00_5,0.0022488609592762
2431,0,06-00_5,0.0044949148560333
2577,0,06-00_5,0.002490554295711
2692,0,06-00_5,2.058087405068073e-18
685,0,06-00_4,0.0006271014857374
1004,0,06-00_4,0.0008053192802968
1300,0,06-00_4,0.0043213916969185
2034,0,06-00_4,7.731529012495741e-06
2691,0,06-00_4,3.981247599906113e-12
684,0,06-00_3,2.546642806911726e-05
1003,0,06-00_3,0.0007707283895097
1299,0,06-00_3,0.0019419905965287
2033,0,06-00_3,2.9957029618195146e-07
2690,0,06-00_3,2.443786245237844e-15
350,0,06-00_2,6.32664859420614e-05
683,0,06-00_2,0.000169799544858
1002,0,06-00_2,4.2802053372297154e-09
1298,0,06-00_2,4.617618408608924e-05
1553,0,06-00_2,1.06181227292368e-05
1810,0,06-00_2,0.000424905117557
2032,0,06-00_2,0.0008816433649132
2576,0,06-00_2,0.0001551483059558
2689,0,06-00_2,1.8102348647898448e-31
682,0,06-00_1,0.000381815619411
1001,0,06-00_1,0.0010768752841149
2031,0,06-00_1,5.8609996757442966e-08
2688,0,06-00_1,4.550903781262757e-12
15,0,06-00_0,2.972642035208244e-07
36,0,06-00_0,2.972642035208244e-07
349,0,06-00_0,7.959101749142796e-14
681,0,06-00_0,9.72441270901471e-16
1000,0,06-00_0,6.708604218216435e-21
1297,0,06-00_0,3.24989462944213e-14
1552,0,06-00_0,1.1218395050159282e-12
1809,0,06-00_0,4.210989108477528e-10
2030,0,06-00_0,1.5412359481882756e-10
2233,0,06-00_0,0.0001371333173831
2430,0,06-00_0,1.3140564504012283e-06
2575,0,06-00_0,1.30586964300073e-09
2687,0,06-00_0,0.0
680,0,05-01_5,0.0015450132240691
1808,0,05-01_5,0.0033527893267669
2429,0,05-01_5,1.7300060785675924e-12
2574,0,05-01_5,2.650707119898777e-22
2573,0,05-01_4,1.5011673132136158e-06
679,0,05-01_3,0.0006960205658865
1807,0,05-01_3,0.0048650668837931
2428,0,05-01_3,5.955204116375549e-07
2572,0,05-01_3,1.5579597078986368e-17
348,0,05-01_2,0.0033142644727378
678,0,05-01_2,0.0013719822981477
1806,0,05-01_2,0.0006914248736931
2029,0,05-01_2,0.0002797240627384
2232,0,05-01_2,9.546506504709485e-07
2427,0,05-01_2,3.616904486799329e-07
2571,0,05-01_2,4.68698743406167e-19
2028,0,05-01_1,0.0014820015613638
2426,0,05-01_1,0.0005936375066925
2570,0,05-01_1,2.068295094033202e-07
14,0,05-01_0,0.0001471000972461
35,0,05-01_0,0.0001471000972461
347,0,05-01_0,1.1045259173941587e-05
677,0,05-01_0,1.072918357654058e-08
999,0,05-01_0,3.278971668197294e-08
1296,0,05-01_0,0.0003682613932033
1551,0,05-01_0,5.994983957450752e-06
1805,0,05-01_0,3.1579909754473535e-13
2425,0,05-01_0,1.5882645403350448e-25
2569,0,05-01_0,0.0
346,0,05-00_5,0.004549559693686
676,0,05-00_5,0.0029706271101207
1550,0,05-00_5,0.0001576183774636
2231,0,05-00_5,0.0006606829796479
2424,0,05-00_5,3.2275833022321322e-21
1549,0,05-00_4,0.0001631117544546
2230,0,05-00_4,0.0043588679192875
2423,0,05-00_4,6.955802599103763e-07
675,0,05-00_3,0.0037328672057791
1548,0,05-00_3,0.0013378657976077
2229,0,05-00_3,0.0019843668212226
2422,0,05-00_3,6.971845775867501e-16
345,0,05-00_2,1.085588846924641e-05
1547,0,05-00_2,4.171691438988924e-05
1804,0,05-00_2,0.0035470366778772
2027,0,05-00_2,0.0003512473707879
2228,0,05-00_2,1.5656414311758304e-06
2421,0,05-00_2,2.081551991506138e-26
1546,0,05-00_1,2.9033834853790914e-05
2227,0,05-00_1,0.0008025157936443
2420,0,05-00_1,1.6141105879916882e-07
344,0,05-00_0,1.0929639080854772e-09
674,0,05-00_0,8.010578128778892e-05
998,0,05-00_0,1.398245216989748e-05
1545,0,05-00_0,7.735993655226052e-07
1803,0,05-00_0,1.7286214049011413e-08
2226,0,05-00_0,0.0019256670000939
2419,0,05-00_0,0.0
673,0,04-01_5,0.0009086588343546
997,0,04-01_5,0.0040305723719563
1802,0,04-01_5,4.5614812350058e-05
2026,0,04-01_5,8.642698745546346e-08
2225,0,04-01_5,2.0312732893354788e-21
1801,0,04-01_4,0.000193492014597
2025,0,04-01_4,5.60103876748986e-05
2224,0,04-01_4,9.998861898572168e-12
