,col_a,col_b,rvalue
237,0,age,0.2137854808347722
498,0,age,0.2127034974241191
1578,0,07-01_5,0.2591284035588853
1738,0,07-01_5,0.3661361763721172
2167,0,07-01_5,0.2050478820494946
2229,0,07-01_5,0.4741535652907566
2280,0,07-01_5,0.5817240165631893
1737,0,07-01_4,0.3227052009479225
2228,0,07-01_4,0.394035694653564
2279,0,07-01_4,0.4851827107057133
1736,0,07-01_3,0.3157369906740535
2227,0,07-01_3,0.4107309290031462
2278,0,07-01_3,0.4846164571271991
753,0,07-01_2,0.2150098302138678
1398,0,07-01_2,0.2441997246446925
1577,0,07-01_2,0.2436012660662528
1735,0,07-01_2,0.4601987949463095
2017,0,07-01_2,0.2146193562501052
2166,0,07-01_2,0.2038188273331005
2226,0,07-01_2,0.4378680797313243
2277,0,07-01_2,0.6231219071893708
1576,0,07-01_1,0.2573572691780855
1734,0,07-01_1,0.3730053228076941
2225,0,07-01_1,0.4682345519767633
2276,0,07-01_1,0.5616998954418483
1575,0,07-01_0,0.3260251682125513
1733,0,07-01_0,0.6523078709821475
2224,0,07-01_0,0.5480072128288853
2275,0,07-01_0,1.0
236,0,07-00_5,0.2163744505371293
752,0,07-00_5,0.2155355222523361
1208,0,07-00_5,0.2627869548206047
1574,0,07-00_5,0.3785823727402965
1732,0,07-00_5,0.3369591571528008
2223,0,07-00_5,0.728447672555644
235,0,07-00_4,0.2058490655325848
751,0,07-00_4,0.2387287039220849
1207,0,07-00_4,0.2332197664778424
1573,0,07-00_4,0.3376331036786887
1731,0,07-00_4,0.3135614147094077
2222,0,07-00_4,0.6423363503624647
750,0,07-00_3,0.2199936141949167
1206,0,07-00_3,0.2195962606752723
1572,0,07-00_3,0.3414183651238598
1730,0,07-00_3,0.3129866231318818
2221,0,07-00_3,0.663801089038893
234,0,07-00_2,0.2853261599539736
497,0,07-00_2,0.2553645573311052
749,0,07-00_2,0.3290666302010642
980,0,07-00_2,0.2083973864518598
1205,0,07-00_2,0.3640262851878887
1397,0,07-00_2,0.237670402011188
1571,0,07-00_2,0.3745252273265764
1729,0,07-00_2,0.4032137800607176
1899,0,07-00_2,0.2454324198083582
2100,0,07-00_2,0.2585541332846797
2220,0,07-00_2,0.6519955869090404
233,0,07-00_1,0.225137786790264
748,0,07-00_1,0.2447069289612548
1204,0,07-00_1,0.2478012200001861
1570,0,07-00_1,0.3833717797934678
1728,0,07-00_1,0.3423964868237416
2219,0,07-00_1,0.7244616562966414
232,0,07-00_0,0.282024268505946
496,0,07-00_0,0.2051032282251845
747,0,07-00_0,0.2161932931379148
1203,0,07-00_0,0.2666163474154133
1569,0,07-00_0,0.4924454684817907
1727,0,07-00_0,0.4253308109779778
2099,0,07-00_0,0.2185607899997894
2218,0,07-00_0,1.0
15,0,06-01_5,0.2963014986961161
495,0,06-01_5,0.3849650974242005
1568,0,06-01_5,0.2164989732134104
2016,0,06-01_5,0.2627061697517558
