,col_a,col_b,rvalue
0,00-01_0,00-01_0,0.9999999999999999
1,00-01_1,00-01_1,0.9999999999999997
2,00-01_1,00-01_4,0.920126982632598
3,00-01_2,00-01_2,1.0
4,00-01_3,00-01_3,1.0
5,00-01_4,00-01_4,1.0
6,00-01_5,00-01_5,0.9999999999999999
7,01-00_0,01-00_0,0.9999999999999999
8,01-00_1,01-00_1,1.0
9,01-00_1,01-00_4,0.9125298352308253
10,01-00_1,01-00_5,0.9079793525985974
11,01-00_2,01-00_2,1.0
12,01-00_3,01-00_3,1.0
13,01-00_3,01-00_4,0.904506296498678
14,01-00_4,01-00_4,1.0
15,01-00_5,01-00_5,1.0
16,01-01_0,01-01_0,1.0
17,01-01_1,01-01_1,0.9999999999999997
18,01-01_1,01-01_3,0.9168622315070322
19,01-01_1,01-01_4,0.9349844793052807
20,01-01_1,01-01_5,0.9395317821053307
21,01-01_2,01-01_2,1.0
22,01-01_3,01-01_3,1.0
23,01-01_3,01-01_4,0.9124448735212377
24,01-01_3,01-01_5,0.9324764381598024
25,01-01_4,01-01_4,0.9999999999999998
26,01-01_5,01-01_5,1.0
27,02-00_0,02-00_0,1.0
28,02-00_1,02-00_1,1.0
29,02-00_1,02-00_4,0.9287987480724009
30,02-00_2,02-00_2,1.0
31,02-00_3,02-00_3,1.0
32,02-00_3,02-00_5,0.9019104059110991
33,02-00_4,02-00_4,0.9999999999999997
34,02-00_5,02-00_5,1.0
35,02-01_0,02-01_0,0.9999999999999999
36,02-01_1,02-01_1,0.9999999999999999
37,02-01_1,02-01_4,0.9523318710218844
38,02-01_1,02-01_5,0.9207967100512799
39,02-01_2,02-01_2,1.0
40,02-01_3,02-01_3,1.0
41,02-01_3,02-01_4,0.9218052332440981
42,02-01_3,02-01_5,0.9340643241616637
43,02-01_4,02-01_4,0.9999999999999998
44,02-01_5,02-01_5,1.0
45,03-00_0,03-00_0,0.9999999999999997
46,03-00_1,03-00_1,0.9999999999999998
47,03-00_1,03-00_4,0.9015213198398835
48,03-00_2,03-00_2,1.0
49,03-00_3,03-00_3,1.0
50,03-00_4,03-00_4,1.0
51,03-00_5,03-00_5,0.9999999999999998
52,03-01_0,03-01_0,0.9999999999999999
53,03-01_1,03-01_1,1.0
54,03-01_2,03-01_2,0.9999999999999996
55,03-01_3,03-01_3,1.0
56,03-01_4,03-01_4,0.9999999999999999
57,03-01_5,03-01_5,0.9999999999999997
58,04-00_0,04-00_0,1.0
59,04-00_1,04-00_1,1.0
60,04-00_1,04-00_3,0.9326675845975193
61,04-00_1,04-00_4,0.9572905121070291
62,04-00_1,04-00_5,0.9448436025460019
63,04-00_2,04-00_2,0.9999999999999999
64,04-00_3,04-00_3,1.0
65,04-00_3,04-00_4,0.9590505136239069
66,04-00_3,04-00_5,0.93660857106676
67,04-00_4,04-00_4,0.9999999999999999
68,04-00_5,04-00_5,1.0
69,04-01_0,04-01_0,1.0
70,04-01_1,04-01_1,1.0
71,04-01_1,04-01_4,0.9329489916915928
72,04-01_1,04-01_5,0.9367569416042869
73,04-01_2,04-01_2,0.9999999999999999
74,04-01_3,04-01_3,0.9999999999999999
75,04-01_3,04-01_4,0.9457203219385958
76,04-01_3,04-01_5,0.9188832076029122
77,04-01_4,04-01_4,1.0
78,04-01_5,04-01_5,1.0
79,05-00_0,05-00_0,1.0
80,05-00_1,05-00_1,0.9999999999999999
81,05-00_1,05-00_4,0.9219177477495247
82,05-00_2,05-00_2,1.0
83,05-00_3,05-00_3,0.9999999999999999
84,05-00_4,05-00_4,1.0
85,05-00_5,05-00_5,1.0
86,05-01_0,05-01_0,1.0
87,05-01_1,05-01_1,1.0
88,05-01_1,05-01_4,0.9014393038678079
89,05-01_2,05-01_2,1.0
90,05-01_3,05-01_3,1.0
91,05-01_4,05-01_4,0.9999999999999997
92,05-01_5,05-01_5,0.9999999999999998
93,06-00_0,06-00_0,0.9999999999999998
94,06-00_1,06-00_1,1.0
95,06-00_1,06-00_4,0.9143127871118286
96,06-00_1,06-00_5,0.9090146396097101
97,06-00_2,06-00_2,1.0
98,06-00_3,06-00_3,1.0
99,06-00_3,06-00_4,0.9252735039903104
100,06-00_4,06-00_4,0.9999999999999998
101,06-00_5,06-00_5,1.0
102,06-01_0,06-01_0,1.0
103,06-01_1,06-01_1,0.9999999999999997
104,06-01_1,06-01_4,0.9072778205337071
105,06-01_1,06-01_5,0.9001185759658064
106,06-01_2,06-01_2,1.0
107,06-01_3,06-01_3,0.9999999999999998
108,06-01_3,06-01_4,0.9040791246593592
109,06-01_4,06-01_4,0.9999999999999999
110,06-01_5,06-01_5,0.9999999999999999
111,07-00_0,07-00_0,1.0
112,07-00_1,07-00_1,0.9999999999999997
113,07-00_1,07-00_3,0.9459121581499566
114,07-00_1,07-00_4,0.958559659558147
115,07-00_1,07-00_5,0.9562415008554014
116,07-00_2,07-00_2,0.9999999999999998
117,07-00_3,07-00_3,0.9999999999999999
118,07-00_3,07-00_4,0.9752009805417987
119,07-00_3,07-00_5,0.9286332699560721
120,07-00_4,07-00_4,0.9999999999999999
121,07-00_5,07-00_5,0.9999999999999998
122,07-01_0,07-01_0,1.0
123,07-01_1,07-01_1,1.0
124,07-01_1,07-01_3,0.9168425634152381
125,07-01_1,07-01_4,0.950668597841192
126,07-01_1,07-01_5,0.9597756378715402
127,07-01_2,07-01_2,1.0
128,07-01_3,07-01_3,1.0
129,07-01_3,07-01_4,0.9704176539999961
130,07-01_3,07-01_5,0.9394375859470089
131,07-01_4,07-01_4,0.9999999999999999
132,07-01_4,07-01_5,0.9238336158214979
133,07-01_5,07-01_5,1.0
134,dbi_score,dbi_score,1.0
135,bai_score,bai_score,1.0
136,asrsa_score,asrsa_score,0.9999999999999998
137,asrsb_score,asrsb_score,1.0
138,oci_score,oci_score,1.0
139,srq_score,srq_score,0.9999999999999998
140,age,age,1.0
