,col_a,col_b,pvalue
1690,05-00_2,asrsb_score,6.888895152022905e-05
2028,asrsa_score,srq_score,2.459195382242105e-24
2027,asrsa_score,oci_score,8.730658676356313e-07
2026,asrsa_score,asrsb_score,8.201609985877079e-20
2025,asrsa_score,asrsa_score,0.0
2031,asrsb_score,srq_score,2.0290000262244025e-18
2030,asrsb_score,oci_score,2.1513862064522123e-14
2029,asrsb_score,asrsb_score,0.0
2024,bai_score,srq_score,1.3062220489398262e-51
2023,bai_score,oci_score,2.102374116748585e-28
2020,bai_score,bai_score,0.0
2022,bai_score,asrsb_score,2.0534421568761944e-19
2021,bai_score,asrsa_score,1.2439537894740144e-11
2019,dbi_score,srq_score,1.3974726920258273e-51
2018,dbi_score,oci_score,7.318469090859452e-26
2014,dbi_score,dbi_score,0.0
2015,dbi_score,bai_score,2.0362274428695308e-43
2017,dbi_score,asrsb_score,4.38291988053874e-14
2016,dbi_score,asrsa_score,1.85413218500275e-20
2033,oci_score,srq_score,2.6499602033510973e-25
2032,oci_score,oci_score,0.0
2034,srq_score,srq_score,0.0
