,col_a,col_b,pvalue
0,00-01_0,00-01_0,0.0
1,00-01_0,00-01_1,5.530475955898823e-12
2,00-01_0,00-01_2,1.787314322938846e-23
3,00-01_0,00-01_3,7.102745933387647e-15
4,00-01_0,00-01_4,7.670856606900971e-09
5,00-01_0,00-01_5,3.4326217254886257e-22
6,00-01_0,01-01_0,8.463741424133172e-06
7,00-01_0,02-01_0,2.0910370200214765e-07
8,00-01_0,03-01_0,4.819818700549238e-05
9,00-01_0,05-01_0,0.00014710009724612998
10,00-01_0,06-00_0,2.9726420352082436e-07
11,00-01_0,06-01_0,2.7968913831752675e-16
12,00-01_0,06-01_1,3.6221125728345294e-05
13,00-01_0,06-01_2,6.099625002430307e-09
14,00-01_0,06-01_3,3.4075151157009715e-05
15,00-01_0,06-01_5,1.1141844114173155e-07
16,00-01_1,00-01_1,0.0
17,00-01_1,00-01_2,1.4401255456865934e-31
18,00-01_1,00-01_3,1.794557420703004e-87
19,00-01_1,00-01_4,5.052154434341314e-127
20,00-01_1,00-01_5,2.7085704680157967e-104
21,00-01_1,01-01_1,5.97321754658336e-13
22,00-01_1,01-01_2,1.6446635029190146e-05
23,00-01_1,01-01_3,9.315857493349331e-11
24,00-01_1,01-01_4,1.388390828248385e-11
25,00-01_1,01-01_5,3.3890769591545475e-11
26,00-01_1,02-01_1,1.5394565746214833e-09
27,00-01_1,02-01_2,3.001142150888184e-06
28,00-01_1,02-01_3,2.9176344455547746e-08
29,00-01_1,02-01_4,6.685346882927516e-09
30,00-01_1,02-01_5,3.4513487816255423e-09
31,00-01_1,03-01_1,2.005678340551164e-09
32,00-01_1,03-01_3,1.393722245869423e-10
33,00-01_1,03-01_4,1.2722042920095677e-11
34,00-01_1,03-01_5,8.24626890404755e-07
35,00-01_1,04-00_2,0.00036571768407928697
36,00-01_1,04-00_5,0.000274837261615646
37,00-01_1,04-01_1,1.6376530382916154e-12
38,00-01_1,04-01_2,9.88737621770288e-09
39,00-01_1,04-01_3,5.6456122049332336e-11
40,00-01_1,04-01_4,2.288272928567376e-12
41,00-01_1,04-01_5,4.969508758354391e-13
42,00-01_1,05-01_1,0.00013573723534729203
43,00-01_1,05-01_3,4.865064903421315e-07
44,00-01_1,05-01_4,1.4041943376428446e-07
45,00-01_1,06-01_0,1.2910018628476754e-05
46,00-01_1,06-01_1,4.0111062382830134e-22
47,00-01_1,06-01_2,6.774160487580092e-12
48,00-01_1,06-01_3,1.5419986348968229e-18
49,00-01_1,06-01_4,2.5612404001621703e-21
50,00-01_1,06-01_5,6.488236391308314e-22
51,00-01_1,07-01_1,9.948416164657907e-08
52,00-01_1,07-01_2,0.00028910536263569426
53,00-01_1,07-01_3,1.2595565274634976e-06
54,00-01_1,07-01_4,3.5618425787110116e-07
55,00-01_1,07-01_5,3.069094666329153e-08
56,00-01_2,00-01_2,0.0
57,00-01_2,00-01_3,4.202542811508125e-20
58,00-01_2,00-01_4,6.776181986731693e-29
59,00-01_2,00-01_5,1.9407237129144847e-22
