,col_a,col_b,pvalue
539,asrsa_score,srq_score,2.459195382242105e-24
538,asrsa_score,asrsb_score,8.201609985877079e-20
537,asrsa_score,asrsa_score,0.0
541,asrsb_score,srq_score,2.0290000262244025e-18
540,asrsb_score,asrsb_score,0.0
536,bai_score,srq_score,1.3062220489398262e-51
535,bai_score,oci_score,2.102374116748585e-28
533,bai_score,bai_score,0.0
534,bai_score,asrsb_score,2.0534421568761944e-19
532,dbi_score,srq_score,1.3974726920258273e-51
531,dbi_score,oci_score,7.318469090859452e-26
528,dbi_score,dbi_score,0.0
529,dbi_score,bai_score,2.0362274428695308e-43
530,dbi_score,asrsa_score,1.85413218500275e-20
543,oci_score,srq_score,2.6499602033510973e-25
542,oci_score,oci_score,0.0
544,srq_score,srq_score,0.0
