col_a,col_b,rvalue
00-01_4,srq_score,1
00-01_5,dbi_score,1
01-00_0,bai_score,1
01-00_0,srq_score,1
01-00_1,dbi_score,1
01-00_2,asrsb_score,1
01-00_3,bai_score,1
01-00_3,dbi_score,1
01-00_3,srq_score,1
01-00_5,bai_score,1
01-00_5,dbi_score,1
01-00_5,srq_score,1
01-01_0,bai_score,1
03-00_2,dbi_score,1
03-00_5,asrsa_score,1
03-00_5,dbi_score,1
03-01_1,asrsa_score,1
03-01_1,dbi_score,1
03-01_1,srq_score,1
03-01_2,asrsb_score,1
03-01_3,asrsa_score,1
03-01_3,dbi_score,1
03-01_3,srq_score,1
03-01_4,asrsa_score,1
03-01_4,dbi_score,1
03-01_5,asrsa_score,1
03-01_5,bai_score,1
03-01_5,dbi_score,1
03-01_5,srq_score,1
04-00_1,srq_score,1
04-00_3,srq_score,1
04-00_4,srq_score,1
04-00_5,srq_score,1
04-01_0,asrsa_score,1
04-01_3,asrsb_score,1
04-01_5,asrsa_score,1
04-01_5,asrsb_score,1
05-00_0,asrsb_score,1
05-00_0,dbi_score,1
05-00_0,oci_score,1
05-00_1,asrsa_score,1
05-00_1,asrsb_score,1
05-00_1,bai_score,1
05-00_1,dbi_score,1
05-00_1,oci_score,1
05-00_1,srq_score,1
05-00_2,asrsb_score,1
05-00_2,bai_score,1
05-00_2,dbi_score,1
05-00_2,oci_score,1
05-00_2,srq_score,1
05-00_3,asrsb_score,1
05-00_3,bai_score,1
05-00_3,dbi_score,1
05-00_3,oci_score,1
05-00_4,asrsa_score,1
05-00_4,asrsb_score,1
05-00_4,bai_score,1
05-00_4,dbi_score,1
05-00_4,oci_score,1
05-00_4,srq_score,1
05-00_5,asrsb_score,1
05-00_5,bai_score,1
05-00_5,dbi_score,1
05-00_5,oci_score,1
05-01_1,oci_score,1
05-01_2,asrsb_score,1
05-01_2,bai_score,1
05-01_2,dbi_score,1
05-01_2,oci_score,1
05-01_2,srq_score,1
05-01_5,oci_score,1
07-00_2,asrsa_score,1
07-01_0,asrsb_score,1
07-01_0,bai_score,1
07-01_2,asrsb_score,1
07-01_2,oci_score,1
asrsa_score,asrsa_score,1
asrsa_score,asrsb_score,1
asrsa_score,oci_score,1
asrsa_score,srq_score,1
asrsb_score,asrsb_score,1
asrsb_score,oci_score,1
asrsb_score,srq_score,1
bai_score,asrsa_score,1
bai_score,asrsb_score,1
bai_score,bai_score,1
bai_score,oci_score,1
bai_score,srq_score,1
dbi_score,asrsa_score,1
dbi_score,asrsb_score,1
dbi_score,bai_score,1
dbi_score,dbi_score,1
dbi_score,oci_score,1
dbi_score,srq_score,1
oci_score,oci_score,1
oci_score,srq_score,1
srq_score,srq_score,1
