,col_a,col_b,rvalue
329,00-01_4,srq_score,0.1067128744930875
405,00-01_5,dbi_score,0.1038585802591117
478,01-00_0,srq_score,-0.1128854058785221
477,01-00_0,bai_score,-0.1703762880512745
546,01-00_1,dbi_score,-0.1127273928241598
621,01-00_2,asrsb_score,0.1453155407882845
687,01-00_3,srq_score,-0.1057209521521741
685,01-00_3,dbi_score,-0.1428361090880064
686,01-00_3,bai_score,-0.1181212272130515
818,01-00_5,srq_score,-0.1099775535752842
816,01-00_5,dbi_score,-0.1388736085873216
817,01-00_5,bai_score,-0.1171529661705928
893,01-01_0,bai_score,-0.1023511369192078
2080,03-00_2,dbi_score,0.129215305026072
2237,03-00_5,dbi_score,0.1051909040406003
2238,03-00_5,asrsa_score,0.1015667118462595
2336,03-01_1,srq_score,0.1245504202686586
2334,03-01_1,dbi_score,0.1256481314996018
2335,03-01_1,asrsa_score,0.1306865261026339
2387,03-01_2,asrsb_score,0.1067616468970629
2440,03-01_3,srq_score,0.109774714049774
2438,03-01_3,dbi_score,0.1529812870060788
2439,03-01_3,asrsa_score,0.1065310047724088
2487,03-01_4,dbi_score,0.1250218619997734
2488,03-01_4,asrsa_score,0.1231514849569435
2538,03-01_5,srq_score,0.1199574976354764
2535,03-01_5,dbi_score,0.1491788123345548
2536,03-01_5,bai_score,0.1121880027862025
2537,03-01_5,asrsa_score,0.1281223430954616
2628,04-00_1,srq_score,-0.1374273067435902
2712,04-00_3,srq_score,-0.1303250695850446
2754,04-00_4,srq_score,-0.1082863448477495
2796,04-00_5,srq_score,-0.1488079604489652
2838,04-01_0,asrsa_score,-0.1253129450780163
2955,04-01_3,asrsb_score,-0.1117072302916328
3028,04-01_5,asrsb_score,-0.1382649171989015
3027,04-01_5,asrsa_score,-0.107614393525386
3063,05-00_0,oci_score,0.15403249558958
3061,05-00_0,dbi_score,0.1350136029531804
3062,05-00_0,asrsb_score,0.1967521535012517
3096,05-00_1,srq_score,0.1313569214623794
3095,05-00_1,oci_score,0.1283133412939304
3091,05-00_1,dbi_score,0.1486111419521615
3092,05-00_1,bai_score,0.1200693332815398
3094,05-00_1,asrsb_score,0.1942228772622426
3093,05-00_1,asrsa_score,0.1061589524913925
3135,05-00_2,srq_score,0.1196635833014127
3134,05-00_2,oci_score,0.1497731864344825
3131,05-00_2,dbi_score,0.1348863185239025
3132,05-00_2,bai_score,0.1106971149522559
3133,05-00_2,asrsb_score,0.2244339895379587
3168,05-00_3,oci_score,0.1723862760454189
3165,05-00_3,dbi_score,0.1536783298612046
3166,05-00_3,bai_score,0.1150179066541148
3167,05-00_3,asrsb_score,0.1704530348318965
3199,05-00_4,srq_score,0.1202820707811147
3198,05-00_4,oci_score,0.1322726218389298
3194,05-00_4,dbi_score,0.1389191775156366
3195,05-00_4,bai_score,0.1110032313585565
3197,05-00_4,asrsb_score,0.1678603744744901
3196,05-00_4,asrsa_score,0.1116051361973323
3230,05-00_5,oci_score,0.1566537199778413
3227,05-00_5,dbi_score,0.1611076916130174
3228,05-00_5,bai_score,0.1390821632716211
3229,05-00_5,asrsb_score,0.2135336090876367
3281,05-01_1,oci_score,0.111088757449921
3314,05-01_2,srq_score,0.1618568566694145
3313,05-01_2,oci_score,0.1516290008332504
3310,05-01_2,dbi_score,0.1383666324709102
3311,05-01_2,bai_score,0.1862617199646454
3312,05-01_2,asrsb_score,0.1916460793143306
3382,05-01_5,oci_score,0.1166217474221939
3610,07-00_2,asrsa_score,-0.1087819900474172
3641,07-01_0,bai_score,0.11438661751328
3642,07-01_0,asrsb_score,0.1231258443219518
3653,07-01_2,oci_score,0.1021093635495018
3652,07-01_2,asrsb_score,0.1080115329402514
3676,asrsa_score,srq_score,0.5355663123248429
3675,asrsa_score,oci_score,0.2754757044861911
3674,asrsa_score,asrsb_score,0.4870573168582819
3673,asrsa_score,asrsa_score,0.9999999999999998
3680,asrsb_score,srq_score,0.4704100309266221
3679,asrsb_score,oci_score,0.4164742327953508
3678,asrsb_score,asrsb_score,1.0
3671,bai_score,srq_score,0.7248291499986641
3670,bai_score,oci_score,0.5733741390040541
3667,bai_score,bai_score,1.0
3669,bai_score,asrsb_score,0.4823872486757591
3668,bai_score,asrsa_score,0.3729354170169324
3665,dbi_score,srq_score,0.7246854936314172
3664,dbi_score,oci_score,0.5503216939092286
3660,dbi_score,dbi_score,1.0
3661,dbi_score,bai_score,0.680828993759898
3663,dbi_score,asrsb_score,0.411907376169409
3662,dbi_score,asrsa_score,0.4944749499447609
3682,oci_score,srq_score,0.5450037215096415
3681,oci_score,oci_score,1.0
3684,srq_score,srq_score,0.9999999999999998
