,col_a,col_b,rvalue
0,00-01_0,00-01_0,1.0
1,00-01_0,00-01_2,0.5269072236178203
2,00-01_0,00-01_3,0.423451190144226
3,00-01_0,00-01_5,0.5135269620622767
4,00-01_0,06-01_0,0.4429397274281816
5,00-01_1,00-01_1,0.9999999999999996
6,00-01_1,00-01_2,0.5997423605291239
7,00-01_1,00-01_3,0.8500366088264047
8,00-01_1,00-01_4,0.920126982632598
9,00-01_1,00-01_5,0.8856502882230867
10,00-01_1,06-01_1,0.5128051371763488
11,00-01_1,06-01_3,0.471870175750446
12,00-01_1,06-01_4,0.5040778836252068
13,00-01_1,06-01_5,0.5105652898737848
14,00-01_2,00-01_2,1.0
15,00-01_2,00-01_3,0.4904152416398871
16,00-01_2,00-01_4,0.5776325440852537
17,00-01_2,00-01_5,0.5161554108763342
18,00-01_2,06-01_2,0.4800833649569966
19,00-01_3,00-01_3,1.0
20,00-01_3,00-01_4,0.8924966735890459
21,00-01_3,00-01_5,0.8878255425684229
22,00-01_3,06-01_1,0.4644743062597421
23,00-01_3,06-01_3,0.4991304804023912
24,00-01_3,06-01_4,0.4716363734331074
25,00-01_3,06-01_5,0.4951886753601138
26,00-01_4,00-01_4,1.0
27,00-01_4,00-01_5,0.7847869435593495
28,00-01_4,04-01_4,0.421728673085417
29,00-01_4,06-01_1,0.4712817274510395
30,00-01_4,06-01_3,0.4734029279496112
31,00-01_4,06-01_4,0.5107488959744775
32,00-01_4,06-01_5,0.4662121148824307
33,00-01_5,00-01_5,1.0
34,00-01_5,06-01_1,0.4634091039504424
35,00-01_5,06-01_3,0.4635364353494551
36,00-01_5,06-01_4,0.4334512684400312
37,00-01_5,06-01_5,0.5166363607357927
38,01-00_0,01-00_0,1.0
39,01-00_0,01-00_2,0.6511937846377073
40,01-00_0,01-00_3,0.4367491421599331
41,01-00_0,01-00_5,0.479303530038977
42,01-00_0,01-01_0,0.5090974182217989
43,01-00_0,06-00_0,0.4080242513852065
44,01-00_1,01-00_1,1.0
45,01-00_1,01-00_2,0.4243071060114656
46,01-00_1,01-00_3,0.8787898433556856
47,01-00_1,01-00_4,0.9125298352308252
48,01-00_1,01-00_5,0.9079793525985974
49,01-00_1,01-01_1,0.611945649730185
50,01-00_1,01-01_3,0.5725264165981186
51,01-00_1,01-01_4,0.5706200865347584
52,01-00_1,01-01_5,0.5785453942021909
53,01-00_1,02-01_3,0.4069225102803646
54,01-00_2,01-00_2,1.0
55,01-00_2,01-01_2,0.4621822556496446
56,01-00_3,01-00_3,1.0
57,01-00_3,01-00_4,0.904506296498678
58,01-00_3,01-00_5,0.8748013920372024
59,01-00_3,01-01_1,0.5778291249090819
60,01-00_3,01-01_3,0.6103151081145634
61,01-00_3,01-01_4,0.5591792642147352
62,01-00_3,01-01_5,0.577419849507509
63,01-00_3,02-01_3,0.4342592972871034
64,01-00_3,03-00_3,0.4226686374394513
65,01-00_4,01-00_4,1.0
66,01-00_4,01-00_5,0.7854119635660232
67,01-00_4,01-01_1,0.6024436429403339
68,01-00_4,01-01_3,0.5923766951020395
69,01-00_4,01-01_4,0.6231908595346808
70,01-00_4,01-01_5,0.5573466657065425
71,01-00_4,02-01_3,0.4221921417631772
72,01-00_4,03-00_3,0.4087742869502691
73,01-00_5,01-00_5,1.0
74,01-00_5,01-01_1,0.5652199147254012
75,01-00_5,01-01_3,0.5617091762102101
76,01-00_5,01-01_4,0.5093164801925358
77,01-00_5,01-01_5,0.5961718269867595
78,01-01_0,01-01_0,1.0
