,col_a,col_b,pvalue
2589,0,oci_score,0.0066701433828937
391,0,bai_score,0.0026575275045583
2588,0,asrsb_score,0.0005039778854058
392,0,age,0.0001526951461456
741,0,age,0.000165202215876
1087,0,07-01_5,0.0021101925158584
1660,0,07-01_5,0.0052045328871235
1924,0,07-01_5,0.0023547908011379
2173,0,07-01_5,3.918111923630968e-06
2386,0,07-01_5,3.0933792566636506e-11
2587,0,07-01_5,0.0027204509135377
2746,0,07-01_5,0.0036065637530008
2953,0,07-01_5,0.0002851470612663
3030,0,07-01_5,1.0012313680086393e-18
3081,0,07-01_5,2.247593105899693e-29
1086,0,07-01_4,0.003405160795508
1923,0,07-01_4,0.0058717880215057
2172,0,07-01_4,0.0010719948327049
2385,0,07-01_4,6.409487360581689e-09
2586,0,07-01_4,0.0044207331550982
2745,0,07-01_4,0.001518519355784
2952,0,07-01_4,0.0013366359250263
3029,0,07-01_4,6.409249203512522e-13
3080,0,07-01_4,1.1874818375806811e-19
1085,0,07-01_3,0.0034245441446696
1922,0,07-01_3,0.0068317938629204
2171,0,07-01_3,0.000512935717371
2384,0,07-01_3,1.399600896281236e-08
2585,0,07-01_3,0.0023944371601471
2744,0,07-01_3,0.0010849980228491
2951,0,07-01_3,0.0004066419432129
3028,0,07-01_3,5.2555296137301727e-14
3079,0,07-01_3,1.3273439628127985e-19
740,0,07-01_2,0.0011053404731303
1084,0,07-01_2,0.0001396141220003
1389,0,07-01_2,0.000572466729133
1921,0,07-01_2,1.417438803927596e-05
2170,0,07-01_2,1.4899372159841394e-05
2383,0,07-01_2,1.3339033569808777e-17
2584,0,07-01_2,0.0094279787976318
2743,0,07-01_2,0.0001436673237335
2950,0,07-01_2,0.0003106965698784
3027,0,07-01_2,6.621877580016834e-16
3078,0,07-01_2,1.250242644498675e-34
1083,0,07-01_1,0.0018588896408408
1920,0,07-01_1,0.00055074997308
2169,0,07-01_1,4.583060395510213e-06
2382,0,07-01_1,1.232220288737597e-11
2583,0,07-01_1,0.0074197253679892
2742,0,07-01_1,0.0069409266248982
2949,0,07-01_1,0.0006587485303392
3026,0,07-01_1,3.0466463071425026e-18
3077,0,07-01_1,4.312016493630196e-27
390,0,07-01_0,0.0032074895033048
739,0,07-01_0,0.0004175700808666
