,col_a,col_b,pvalue
472,0,07-01_5,1.0012313680086393e-18
515,0,07-01_5,2.247593105899693e-29
514,0,07-01_4,1.1874818375806811e-19
513,0,07-01_3,1.3273439628127985e-19
312,0,07-01_2,1.3339033569808777e-17
471,0,07-01_2,6.621877580016834e-16
512,0,07-01_2,1.250242644498675e-34
470,0,07-01_1,3.0466463071425026e-18
511,0,07-01_1,4.312016493630196e-27
311,0,07-01_0,7.799417923518242e-39
469,0,07-01_0,1.2848540887701566e-25
510,0,07-01_0,0.0
468,0,07-00_5,2.350354568238409e-52
467,0,07-00_4,2.3993394353387706e-37
466,0,07-00_3,1.2758829125546222e-40
465,0,07-00_2,8.699911585769321e-39
464,0,07-00_1,1.552390262116151e-51
257,0,07-00_0,2.795021554904434e-20
463,0,07-00_0,0.0
447,0,06-01_5,4.423651148994047e-21
446,0,06-01_3,4.449783600334208e-19
445,0,06-01_2,4.5637793222483474e-24
3,0,06-01_0,2.7968913831752675e-16
6,0,06-01_0,2.7968913831752675e-16
79,0,06-01_0,7.204731809706246e-19
425,0,06-01_0,9.138655881619984e-20
444,0,06-01_0,0.0
424,0,06-00_5,2.058087405068073e-18
423,0,06-00_3,2.443786245237844e-15
422,0,06-00_2,1.8102348647898448e-31
78,0,06-00_0,9.72441270901471e-16
132,0,06-00_0,6.708604218216435e-21
421,0,06-00_0,0.0
405,0,05-01_5,2.650707119898777e-22
404,0,05-01_3,1.5579597078986368e-17
403,0,05-01_2,4.68698743406167e-19
369,0,05-01_0,1.5882645403350448e-25
402,0,05-01_0,0.0
368,0,05-00_5,3.2275833022321322e-21
367,0,05-00_3,6.971845775867501e-16
366,0,05-00_2,2.081551991506138e-26
365,0,05-00_0,0.0
310,0,04-01_5,2.0312732893354788e-21
309,0,04-01_3,7.343056016039568e-16
308,0,04-01_2,8.0187069290449955e-19
307,0,04-01_1,1.6065452094306125e-15
256,0,04-01_0,7.861305874545653e-16
306,0,04-01_0,0.0
255,0,04-00_5,7.3599772782382895e-34
254,0,04-00_4,8.65308314560842e-22
253,0,04-00_3,1.919910994822873e-24
252,0,04-00_2,2.482285566518885e-24
251,0,04-00_1,2.5627222825524836e-29
250,0,04-00_0,0.0
228,0,03-01_5,5.300017852396752e-18
227,0,03-01_2,1.1959568852070207e-20
77,0,03-01_0,1.574498481839851e-18
226,0,03-01_0,0.0
203,0,03-00_5,5.2686969418060294e-18
202,0,03-00_3,2.5100327658811188e-15
201,0,03-00_2,2.626394725730502e-25
131,0,03-00_0,4.862914262096138e-19
200,0,03-00_0,0.0
167,0,02-01_5,8.097825413907147e-18
166,0,02-01_2,1.4596166761052015e-30
130,0,02-01_0,4.3291827066384647e-19
165,0,02-01_0,0.0
129,0,02-00_5,4.196987582719534e-17
128,0,02-00_2,5.927092296083722e-36
127,0,02-00_0,0.0
76,0,01-01_5,9.344734462449972e-20
75,0,01-01_3,9.852646539609362e-20
74,0,01-01_2,4.593311278545717e-41
43,0,01-01_0,8.875037559308113e-22
73,0,01-01_0,0.0
42,0,01-00_5,3.735515592421353e-19
41,0,01-00_3,7.99326480812667e-16
40,0,01-00_2,1.1510531332768263e-38
39,0,01-00_0,0.0
2,0,00-01_5,3.4326217254886257e-22
5,0,00-01_5,3.4326217254886257e-22
1,0,00-01_2,1.787314322938846e-23
4,0,00-01_2,1.787314322938846e-23
0,0,00-01_0,0.0
327,1,07-01_5,3.109472091178782e-41
482,1,07-01_5,5.1772027312988145e-34
520,1,07-01_5,2.0820429778438295e-171
326,1,07-01_4,2.8261514320556847e-41
481,1,07-01_4,4.990342120189736e-29
519,1,07-01_4,4.144343416025696e-158
325,1,07-01_3,9.45294314607136e-36
480,1,07-01_3,5.3296227380397545e-30
518,1,07-01_3,1.893622285624395e-124
324,1,07-01_2,1.7842425739566758e-17
517,1,07-01_2,8.725548788737181e-31
323,1,07-01_1,1.0645376301086159e-47
479,1,07-01_1,1.7717943599920427e-34
516,1,07-01_1,0.0
478,1,07-01_0,5.510575084478421e-17
270,1,07-00_5,4.12918688924444e-20
322,1,07-00_5,6.878371556347986e-24
477,1,07-00_5,6.512506053389931e-166
269,1,07-00_4,5.631361664963528e-20
321,1,07-00_4,5.218419880911684e-23
476,1,07-00_4,1.832535409434332e-169
268,1,07-00_3,2.894941577697558e-20
320,1,07-00_3,4.030798378119878e-23
475,1,07-00_3,3.919349813451563e-152
474,1,07-00_2,1.1029586746567922e-39
267,1,07-00_1,6.717480483166583e-21
319,1,07-00_1,5.9027010252008565e-25
473,1,07-00_1,0.0
15,1,06-01_5,6.488236391308316e-22
92,1,06-01_5,6.939210941153494e-23
176,1,06-01_5,5.249333375964034e-16
452,1,06-01_5,8.26289587508685e-113
14,1,06-01_4,2.5612404001621706e-21
91,1,06-01_4,9.180268467033424e-24
175,1,06-01_4,1.1757685915994611e-20
451,1,06-01_4,1.6077018578158485e-117
13,1,06-01_3,1.5419986348968229e-18
90,1,06-01_3,1.5004530351093065e-23
174,1,06-01_3,6.783995874975156e-18
450,1,06-01_3,4.577978014044402e-87
449,1,06-01_2,1.007225331458464e-24
12,1,06-01_1,4.0111062382830134e-22
