,col_a,col_b,pvalue
0,00-01_0,00-01_0,0.0
1,00-01_0,00-01_2,1.787314322938846e-23
2,00-01_0,00-01_5,3.4326217254886257e-22
3,00-01_0,06-01_0,2.7968913831752675e-16
4,00-01_0,00-01_2,1.787314322938846e-23
5,00-01_0,00-01_5,3.4326217254886257e-22
6,00-01_0,06-01_0,2.7968913831752675e-16
7,00-01_1,00-01_1,0.0
8,00-01_1,00-01_2,1.4401255456865934e-31
9,00-01_1,00-01_3,1.794557420703004e-87
10,00-01_1,00-01_4,5.052154434341314e-127
11,00-01_1,00-01_5,2.7085704680157967e-104
12,00-01_1,06-01_1,4.011106238283013e-22
13,00-01_1,06-01_3,1.5419986348968229e-18
14,00-01_1,06-01_4,2.5612404001621706e-21
15,00-01_1,06-01_5,6.488236391308315e-22
16,00-01_2,00-01_2,0.0
17,00-01_2,00-01_3,4.202542811508125e-20
18,00-01_2,00-01_4,6.776181986731693e-29
19,00-01_2,00-01_5,1.940723712914485e-22
20,00-01_2,06-01_2,3.212778722415688e-19
21,00-01_3,00-01_3,0.0
22,00-01_3,00-01_4,3.5909227860835564e-108
23,00-01_3,00-01_5,1.6911554869413043e-105
24,00-01_3,06-01_1,6.1096311995718016e-18
25,00-01_3,06-01_3,7.15722747194334e-21
26,00-01_3,06-01_4,1.6114196373339471e-18
27,00-01_3,06-01_5,1.6038854954447275e-20
28,00-01_4,00-01_4,0.0
29,00-01_4,00-01_5,9.467494596900307e-66
30,00-01_4,06-01_1,1.7226228295539609e-18
31,00-01_4,06-01_3,1.1543671151758522e-18
32,00-01_4,06-01_4,6.238261663671067e-22
33,00-01_4,06-01_5,4.4342297585068545e-18
34,00-01_5,00-01_5,0.0
35,00-01_5,06-01_1,7.429262971037122e-18
36,00-01_5,06-01_3,7.257865791803872e-18
37,00-01_5,06-01_4,1.3864392379994214e-15
38,00-01_5,06-01_5,1.7474870364083618e-22
39,01-00_0,01-00_0,0.0
40,01-00_0,01-00_2,1.1510531332768263e-38
41,01-00_0,01-00_3,7.99326480812667e-16
42,01-00_0,01-00_5,3.735515592421353e-19
43,01-00_0,01-01_0,8.875037559308113e-22
44,01-00_1,01-00_1,0.0
45,01-00_1,01-00_3,1.1947069835820604e-100
46,01-00_1,01-00_4,3.1611952809000633e-121
47,01-00_1,01-00_5,5.297756906409223e-118
48,01-00_1,01-01_1,3.910932490533221e-33
49,01-00_1,01-01_3,2.6287265167372358e-28
50,01-00_1,01-01_4,4.334428124797333e-28
51,01-00_1,01-01_5,5.304433234838559e-29
52,01-00_2,01-00_2,0.0
53,01-00_2,01-01_2,9.298185476801664e-18
54,01-00_3,01-00_3,0.0
55,01-00_3,01-00_4,1.1858129882018496e-115
56,01-00_3,01-00_5,1.2469083277229803e-98
57,01-00_3,01-01_1,6.428531202013002e-29
58,01-00_3,01-01_3,6.389655525191398e-33
59,01-00_3,01-01_4,8.15065442470382e-27
60,01-00_3,01-01_5,7.173249175489449e-29
61,01-00_3,02-01_3,1.2121025513136306e-15
62,01-00_4,01-00_4,0.0
63,01-00_4,01-00_5,6.387734506301044e-66
64,01-00_4,01-01_1,6.569355617917447e-32
65,01-00_4,01-01_3,1.1793607887860516e-30
66,01-00_4,01-01_4,1.2234357973726234e-34
67,01-00_4,01-01_5,1.290487157245844e-26
68,01-00_5,01-00_5,0.0
69,01-00_5,01-01_1,1.756160494124842e-27
70,01-00_5,01-01_3,4.301876646024953e-27
71,01-00_5,01-01_4,8.470500493761309e-22
72,01-00_5,01-01_5,4.018260617046466e-31
73,01-01_0,01-01_0,0.0
74,01-01_0,01-01_2,4.593311278545718e-41
75,01-01_0,01-01_3,9.852646539609362e-20
