,col_a,col_b,rvalue
322,0,07-01_5,0.5817240165631893
321,0,07-01_2,0.6231219071893708
320,0,07-01_1,0.5616998954418483
163,0,07-01_0,0.6523078709821475
286,0,07-01_0,0.5480072128288853
319,0,07-01_0,1.0
285,0,07-00_5,0.728447672555644
284,0,07-00_4,0.6423363503624647
283,0,07-00_3,0.663801089038893
282,0,07-00_2,0.6519955869090404
281,0,07-00_1,0.7244616562966414
280,0,07-00_0,1.0
266,0,06-01_5,0.5014569667154356
265,0,06-01_2,0.5328935900034627
264,0,06-01_0,1.0
252,0,06-00_2,0.598950335162439
251,0,06-00_0,0.9999999999999998
237,0,05-01_5,0.5147212503060858
205,0,05-01_0,0.547130753983438
236,0,05-01_0,1.0
204,0,05-00_5,0.5029715885802465
203,0,05-00_2,0.5554278287875776
202,0,05-00_0,1.0
162,0,04-01_5,0.5051829625598105
161,0,04-01_0,1.0
146,0,04-00_5,0.6174235605185504
145,0,04-00_4,0.50921636177381
144,0,04-00_3,0.5366297612490266
143,0,04-00_2,0.5355260919810295
142,0,04-00_1,0.5812405555507656
141,0,04-00_0,1.0
129,0,03-01_0,1.0
117,0,03-00_2,0.5450409677319975
116,0,03-00_0,0.9999999999999996
103,0,02-01_2,0.5916192195023304
102,0,02-01_0,1.0
88,0,02-00_2,0.6326557119843695
87,0,02-00_0,1.0
53,0,01-01_2,0.6665789598309846
24,0,01-01_0,0.5090974182217989
52,0,01-01_0,1.0
23,0,01-00_2,0.6511937846377073
22,0,01-00_0,1.0
2,0,00-01_5,0.5135269620622767
1,0,00-01_2,0.5269072236178203
0,0,00-01_0,1.0
176,1,07-01_5,0.6676319651323436
295,1,07-01_5,0.6185637177076401
327,1,07-01_5,0.9597756378715402
175,1,07-01_4,0.6678891635816119
294,1,07-01_4,0.5787724935508259
326,1,07-01_4,0.950668597841192
174,1,07-01_3,0.6312174165921111
293,1,07-01_3,0.5869745274808146
325,1,07-01_3,0.916842563415238
324,1,07-01_2,0.5934437851190214
173,1,07-01_1,0.704832616538561
292,1,07-01_1,0.6220103755637459
323,1,07-01_1,1.0
172,1,07-00_5,0.5311071399496047
291,1,07-00_5,0.9562415008554014
171,1,07-00_4,0.5221239792412853
290,1,07-00_4,0.958559659558147
170,1,07-00_3,0.5232837016106844
289,1,07-00_3,0.9459121581499566
288,1,07-00_2,0.657836738443203
169,1,07-00_1,0.5416453362656277
287,1,07-00_1,0.9999999999999996
10,1,06-01_5,0.5105652898737848
65,1,06-01_5,0.5208388774324412
271,1,06-01_5,0.9001185759658064
9,1,06-01_4,0.5040778836252068
64,1,06-01_4,0.5298436526090617
270,1,06-01_4,0.9072778205337072
63,1,06-01_3,0.5276810658314547
269,1,06-01_3,0.8490385975033411
268,1,06-01_2,0.539383323000445
8,1,06-01_1,0.5128051371763488
62,1,06-01_1,0.5338898533838627
267,1,06-01_1,0.9999999999999996
256,1,06-00_5,0.90901463960971
255,1,06-00_4,0.9143127871118286
254,1,06-00_3,0.874259453531051
253,1,06-00_1,1.0
214,1,05-01_5,0.5580037001595582
242,1,05-01_5,0.7970538286598886
213,1,05-01_4,0.6113155321417547
241,1,05-01_4,0.901439303867808
212,1,05-01_3,0.5024194582869314
240,1,05-01_3,0.730837006430558
239,1,05-01_2,0.5956625649602708
211,1,05-01_1,0.6846235164770589
238,1,05-01_1,1.0
210,1,05-00_5,0.8276985459986232
209,1,05-00_4,0.9219177477495248
208,1,05-00_3,0.7979666825557986
207,1,05-00_2,0.6412923783199166
206,1,05-00_1,1.0
168,1,04-01_5,0.9367569416042868
167,1,04-01_4,0.9329489916915928
166,1,04-01_3,0.8905451450533671
165,1,04-01_2,0.5018919835883208
151,1,04-01_1,0.5089523586727319
164,1,04-01_1,1.0
150,1,04-00_5,0.944843602546002
149,1,04-00_4,0.9572905121070292
148,1,04-00_3,0.9326675845975192
147,1,04-00_1,1.0
133,1,03-01_5,0.7864155893071263
132,1,03-01_4,0.8879891573201336
131,1,03-01_3,0.7393198051349144
130,1,03-01_1,1.0
121,1,03-00_5,0.8657837922818022
120,1,03-00_4,0.9015213198398836
119,1,03-00_3,0.8145478135175828
118,1,03-00_1,0.9999999999999998
61,1,02-01_5,0.526357855715215
107,1,02-01_5,0.92079671005128
60,1,02-01_4,0.5108146017848181
106,1,02-01_4,0.9523318710218844
59,1,02-01_3,0.524180926448896
105,1,02-01_3,0.8914720523879944
58,1,02-01_1,0.5109345817071519
104,1,02-01_1,1.0
92,1,02-00_5,0.8409713185087482
91,1,02-00_4,0.9287987480724008
90,1,02-00_3,0.8207031986373025
