,col_a,col_b,rvalue
0,00-01_0,00-01_0,0.9999999999999999
1,00-01_0,00-01_2,0.5269072236178203
2,00-01_0,00-01_5,0.5135269620622767
3,00-01_1,00-01_1,0.9999999999999997
4,00-01_1,00-01_2,0.5997423605291239
5,00-01_1,00-01_3,0.8500366088264047
6,00-01_1,00-01_4,0.920126982632598
7,00-01_1,00-01_5,0.8856502882230867
8,00-01_1,06-01_1,0.5128051371763488
9,00-01_1,06-01_4,0.5040778836252068
10,00-01_1,06-01_5,0.5105652898737848
11,00-01_2,00-01_2,1.0
12,00-01_2,00-01_4,0.5776325440852537
13,00-01_2,00-01_5,0.5161554108763342
14,00-01_3,00-01_3,1.0
15,00-01_3,00-01_4,0.8924966735890459
16,00-01_3,00-01_5,0.8878255425684229
17,00-01_4,00-01_4,1.0
18,00-01_4,00-01_5,0.7847869435593495
19,00-01_4,06-01_4,0.5107488959744775
20,00-01_5,00-01_5,0.9999999999999999
21,00-01_5,06-01_5,0.5166363607357927
22,01-00_0,01-00_0,0.9999999999999999
23,01-00_0,01-00_2,0.6511937846377073
24,01-00_0,01-01_0,0.5090974182217989
25,01-00_1,01-00_1,1.0
26,01-00_1,01-00_3,0.8787898433556856
27,01-00_1,01-00_4,0.9125298352308253
28,01-00_1,01-00_5,0.9079793525985974
29,01-00_1,01-01_1,0.611945649730185
30,01-00_1,01-01_3,0.5725264165981186
31,01-00_1,01-01_4,0.5706200865347584
32,01-00_1,01-01_5,0.5785453942021909
33,01-00_2,01-00_2,1.0
34,01-00_3,01-00_3,1.0
35,01-00_3,01-00_4,0.904506296498678
36,01-00_3,01-00_5,0.8748013920372024
37,01-00_3,01-01_1,0.5778291249090819
38,01-00_3,01-01_3,0.6103151081145634
39,01-00_3,01-01_4,0.5591792642147352
40,01-00_3,01-01_5,0.577419849507509
41,01-00_4,01-00_4,1.0
42,01-00_4,01-00_5,0.7854119635660232
43,01-00_4,01-01_1,0.6024436429403339
44,01-00_4,01-01_3,0.5923766951020395
45,01-00_4,01-01_4,0.6231908595346808
46,01-00_4,01-01_5,0.5573466657065425
47,01-00_5,01-00_5,1.0
48,01-00_5,01-01_1,0.5652199147254012
49,01-00_5,01-01_3,0.5617091762102101
