,col_a,col_b,pvalue
40,0,sqr_score,0.9963458540160606
98,0,sqr_score,0.9085019724269427
102,0,oci_score,0.8239303454804114
49,0,dbi_score,0.8654231158302491
39,0,bai_score,0.8594028642503293
71,0,bai_score,0.9592248023668268
50,0,asrsa_score,0.9371002965665644
90,0,age,0.8467151441508667
95,0,age,0.9914930139633168
112,0,age,0.962171206237846
17,0,07-01_4,0.8808272882604197
48,0,05-01_4,0.8521166575229809
47,0,05-01_3,0.8210043726760136
2,0,05-00_1,0.9320637466939832
5,0,05-00_1,0.9320637466939832
1,0,01-00_5,0.989391123794701
4,0,01-00_5,0.989391123794701
0,0,01-00_3,0.8851140830439957
3,0,01-00_3,0.8851140830439957
29,1,sqr_score,0.9572112280891464
42,1,sqr_score,0.9545080309419864
52,1,sqr_score,0.9713317099736898
105,1,sqr_score,0.8785928830356067
116,1,sqr_score,0.8949678096382411
41,1,oci_score,0.9523588533440098
65,1,oci_score,0.995934096139172
82,1,oci_score,0.8532581703680886
115,1,oci_score,0.8170920891631503
80,1,dbi_score,0.8297795982334152
103,1,dbi_score,0.9062934084380226
27,1,bai_score,0.8422672751972499
51,1,bai_score,0.9314023161640858
64,1,bai_score,0.9776279835855513
81,1,bai_score,0.8639377628142024
104,1,bai_score,0.8097765628482959
113,1,bai_score,0.99371729955497
114,1,asrsb_score,0.8290590385100166
122,1,asrsb_score,0.965967579524874
28,1,asrsa_score,0.8081853740877122
72,1,age,0.8320161429185148
93,1,06-00_4,0.8736675867921999
92,1,06-00_3,0.8901637851116824
96,1,06-00_3,0.8601433704608551
91,1,06-00_2,0.9744758687195916
18,1,05-01_0,0.9553031676113982
7,1,05-00_0,0.9510443089992496
26,1,05-00_0,0.8008548566237116
6,1,03-01_0,0.8518769673618748
53,2,sqr_score,0.838919722597511
84,2,sqr_score,0.832201550316515
33,2,oci_score,0.8316861489220835
44,2,oci_score,0.9360375186503128
73,2,oci_score,0.8695254743943709
30,2,dbi_score,0.8414807654915729
83,2,dbi_score,0.8150369122489879
123,2,dbi_score,0.8476246725989026
19,2,bai_score,0.8335878158023191
31,2,bai_score,0.8693578110535638
77,2,asrsb_score,0.914425062378453
106,2,asrsb_score,0.8315787196918847
32,2,asrsa_score,0.8319420748476454
43,2,asrsa_score,0.8583816091529579
99,2,07-01_1,0.820537884302549
76,2,05-00_4,0.9101634156752014
11,2,05-00_1,0.8096852654800202
75,2,05-00_1,0.8156165720475311
10,2,03-00_3,0.9940592267304712
9,2,03-00_1,0.8626729115099295
8,2,01-00_0,0.9025517238612684
35,3,sqr_score,0.8029028267776924
86,3,sqr_score,0.8447664918186766
110,3,sqr_score,0.9238287231242884
45,3,oci_score,0.9858258183254484
67,3,oci_score,0.9442159945396708
74,3,oci_score,0.9734560486032924
54,3,dbi_score,0.8884162506953428
85,3,dbi_score,0.9732520704842508
107,3,dbi_score,0.9202087430104776
55,3,bai_score,0.9097813999810292
108,3,bai_score,0.9690797313410106
21,3,asrsb_score,0.8088995920816339
101,3,asrsb_score,0.837735752094502
34,3,asrsa_score,0.9761597191337504
66,3,asrsa_score,0.963784278096306
109,3,asrsa_score,0.8985285521246229
78,3,age,0.8443233691218974
87,3,age,0.8986558616203587
97,3,age,0.8411722333032826
100,3,07-01_2,0.9420280947536628
20,3,05-01_4,0.8283342969831808
12,3,01-00_0,0.8778691599318632
61,4,sqr_score,0.9294430466278104
120,4,sqr_score,0.8938748017716345
119,4,oci_score,0.9090959031976704
59,4,dbi_score,0.9981144146148652
88,4,dbi_score,0.9550655793208732
117,4,dbi_score,0.9618168431816853
46,4,bai_score,0.8539996857628176
60,4,bai_score,0.8946198255686987
68,4,bai_score,0.8387677532360043
89,4,bai_score,0.9652705162102247
118,4,bai_score,0.9901406829816484
70,4,asrsb_score,0.8238674011180935
79,4,asrsb_score,0.9479056926745548
124,4,asrsb_score,0.9914372581233968
24,4,asrsa_score,0.9250303265747312
69,4,asrsa_score,0.8629864006196108
15,4,age,0.9623840789957728
94,4,06-00_2,0.9897100083221484
23,4,05-01_5,0.8730722750516188
58,4,05-01_5,0.8777596646254283
22,4,05-01_0,0.8663929502725685
57,4,05-00_5,0.8145261706863764
56,4,05-00_3,0.940119093705103
14,4,05-00_0,0.9449830732713694
13,4,03-01_0,0.9759316214126816
38,5,sqr_score,0.90342735575381
111,5,dbi_score,0.839971807998437
36,5,bai_score,0.932822333788858
63,5,bai_score,0.8926597731904734
25,5,asrsb_score,0.8840588240392633
121,5,asrsb_score,0.8931450341716377
37,5,asrsa_score,0.9534361926391564
62,5,05-00_0,0.9713867635640188
16,5,01-00_0,0.9899872270270648
