,col_a,col_b,pvalue
0,00-01_0,01-00_5,0.989391123794701
1,00-01_0,05-00_1,0.9320637466939832
2,00-01_0,01-00_5,0.989391123794701
3,00-01_0,05-00_1,0.9320637466939832
4,00-01_1,05-00_0,0.9510443089992496
5,00-01_2,01-00_0,0.9025517238612684
6,00-01_2,03-00_3,0.9940592267304712
7,00-01_4,03-01_0,0.9759316214126816
8,00-01_4,05-00_0,0.9449830732713694
9,00-01_4,age,0.9623840789957729
10,00-01_5,01-00_0,0.9899872270270648
11,01-00_1,05-01_0,0.9553031676113982
12,01-00_4,asrsa_score,0.9250303265747313
13,01-01_1,sqr_score,0.9572112280891463
14,01-01_3,asrsa_score,0.9761597191337503
15,01-01_5,bai_score,0.932822333788858
16,01-01_5,asrsa_score,0.9534361926391564
17,01-01_5,sqr_score,0.9034273557538101
18,02-00_0,sqr_score,0.9963458540160606
19,02-00_1,oci_score,0.9523588533440098
20,02-00_1,sqr_score,0.9545080309419863
21,02-00_2,oci_score,0.9360375186503128
22,02-00_3,oci_score,0.9858258183254485
23,02-01_0,asrsa_score,0.9371002965665644
24,02-01_1,bai_score,0.9314023161640858
25,02-01_1,sqr_score,0.9713317099736898
26,02-01_3,bai_score,0.9097813999810292
27,02-01_4,05-00_3,0.940119093705103
28,02-01_4,dbi_score,0.9981144146148652
29,02-01_4,sqr_score,0.9294430466278104
30,02-01_5,05-00_0,0.9713867635640187
31,03-00_1,bai_score,0.9776279835855513
32,03-00_1,oci_score,0.995934096139172
33,03-00_3,asrsa_score,0.9637842780963061
34,03-00_3,oci_score,0.9442159945396708
35,03-01_0,bai_score,0.9592248023668267
36,03-01_3,oci_score,0.9734560486032923
37,04-00_2,05-00_4,0.9101634156752014
38,04-00_2,asrsb_score,0.914425062378453
39,04-00_4,asrsb_score,0.9479056926745547
40,04-01_3,dbi_score,0.9732520704842509
41,04-01_4,dbi_score,0.9550655793208731
42,04-01_4,bai_score,0.9652705162102247
43,05-00_1,06-00_2,0.9744758687195917
44,05-00_4,06-00_2,0.9897100083221485
45,05-01_0,age,0.9914930139633169
46,06-00_0,sqr_score,0.9085019724269427
47,06-00_3,07-01_2,0.9420280947536628
48,06-01_1,dbi_score,0.9062934084380226
49,06-01_3,dbi_score,0.9202087430104776
50,06-01_3,bai_score,0.9690797313410106
51,06-01_3,sqr_score,0.9238287231242883
52,07-00_0,age,0.962171206237846
53,07-00_1,bai_score,0.9937172995549701
54,07-00_4,dbi_score,0.9618168431816853
55,07-00_4,bai_score,0.9901406829816483
56,07-00_4,oci_score,0.9090959031976704
57,07-01_1,asrsb_score,0.9659675795248741
58,07-01_4,asrsb_score,0.9914372581233968
