,col_a,col_b,pvalue
2956,0,oci_score,0.0356617464059112
2499,0,dbi_score,0.0453441453832239
452,0,bai_score,0.0147282647047773
850,0,asrsb_score,0.0274376656567849
2955,0,asrsb_score,0.0015818857847461
3501,0,asrsb_score,0.0074162807754311
2500,0,asrsa_score,0.0408201232188004
2734,0,asrsa_score,0.0360870845570537
453,0,age,0.0036701033040443
52,0,07-01_5,0.0068219873752158
849,0,07-01_5,0.0069295029776831
1242,0,07-01_5,0.0017951903789516
1603,0,07-01_5,0.0263600526936587
1936,0,07-01_5,0.0049485632852049
2498,0,07-01_5,0.0002083676522139
2733,0,07-01_5,2.5793088379339027e-11
2954,0,07-01_5,0.0024097887965871
3134,0,07-01_5,0.001926239216253
3362,0,07-01_5,0.0015851552811307
3448,0,07-01_5,7.575934943981912e-19
3500,0,07-01_5,1.438169413621828e-34
51,0,07-01_4,0.0048989626990145
848,0,07-01_4,0.0236793739379999
1241,0,07-01_4,0.0082832205189454
1935,0,07-01_4,0.0194751116810732
2227,0,07-01_4,0.0472568250862697
2497,0,07-01_4,0.0265282371901766
2732,0,07-01_4,7.948948391030008e-10
2953,0,07-01_4,0.0026102473300668
3133,0,07-01_4,0.0008189948996767
3361,0,07-01_4,0.002161793532848
3447,0,07-01_4,2.259526427427409e-12
3499,0,07-01_4,8.762771324989594e-22
50,0,07-01_3,0.0035125545974765
847,0,07-01_3,0.0086240046717808
1240,0,07-01_3,0.0100289252842348
1602,0,07-01_3,0.0399053561654232
1934,0,07-01_3,0.0171870792381205
2226,0,07-01_3,0.0469283271284429
2496,0,07-01_3,0.0080273497709131
2731,0,07-01_3,1.6391717016700636e-09
2952,0,07-01_3,0.0010769737395294
3132,0,07-01_3,0.0003986376767207
3267,0,07-01_3,0.022640474536865
3360,0,07-01_3,0.0011097441638831
3446,0,07-01_3,9.179913111766336e-13
3498,0,07-01_3,3.68401200614654e-21
451,0,07-01_2,0.0046257107866653
846,0,07-01_2,0.0004965329546975
1239,0,07-01_2,0.0001157943495411
