,col_a,col_b,pvalue
0,00-01_0,00-01_0,0.0
1,00-01_0,00-01_1,3.084350605360622e-07
2,00-01_0,00-01_2,2.4976897112761e-13
3,00-01_0,00-01_3,7.477860602703324e-12
4,00-01_0,00-01_4,9.351032409117746e-07
5,00-01_0,00-01_5,4.3712125191588655e-12
6,00-01_0,01-00_0,0.0393018994125173
7,00-01_0,01-01_0,1.2483354889399728e-05
8,00-01_0,01-01_3,0.0213059041797953
9,00-01_0,01-01_4,0.0458453753744583
10,00-01_0,01-01_5,0.0234626906846819
11,00-01_0,02-00_0,0.0004931774682861
12,00-01_0,02-00_1,0.0290167993662759
13,00-01_0,02-00_2,0.0444831820182094
14,00-01_0,02-00_3,0.0109129010976791
15,00-01_0,02-00_5,0.0017144321335305
16,00-01_0,02-01_0,4.816068520304552e-08
17,00-01_0,02-01_1,0.0065080330353822
18,00-01_0,02-01_2,0.0024977419937032
19,00-01_0,02-01_3,0.0016719268850767
20,00-01_0,02-01_4,0.0070817576036579
21,00-01_0,02-01_5,0.0038184531437786
22,00-01_0,03-00_0,0.003000064886313
23,00-01_0,03-01_0,6.790740591591104e-05
24,00-01_0,03-01_3,0.0267681222677939
25,00-01_0,03-01_5,0.023008716976661
26,00-01_0,04-00_0,0.0040502514117817
27,00-01_0,04-00_2,0.0006173699151398
28,00-01_0,04-01_0,0.0086127848314809
29,00-01_0,04-01_1,0.0397123876391109
30,00-01_0,04-01_2,0.0437875961317217
31,00-01_0,04-01_3,0.0065303610985905
32,00-01_0,04-01_4,0.0143681022408655
33,00-01_0,04-01_5,0.0114907905699509
34,00-01_0,05-01_0,0.0046994836290598
35,00-01_0,05-01_3,0.0149970607220562
36,00-01_0,06-00_0,7.490644415539454e-07
37,00-01_0,06-00_2,0.0007669513244497
38,00-01_0,06-00_5,0.0204846687400271
39,00-01_0,06-01_0,4.978089291022167e-14
40,00-01_0,06-01_1,0.0033410800658143
41,00-01_0,06-01_2,4.1933469289914575e-09
42,00-01_0,06-01_3,0.0002998433529355
43,00-01_0,06-01_4,0.0045385747886487
44,00-01_0,06-01_5,2.629677031306016e-05
45,00-01_0,07-00_1,0.0091706039607459
46,00-01_0,07-00_2,0.0325971592984073
47,00-01_0,07-00_3,0.0070855160869071
48,00-01_0,07-00_4,0.0153415636959422
49,00-01_0,07-01_1,0.0053672487517346
50,00-01_0,07-01_3,0.0035125545974765
51,00-01_0,07-01_4,0.0048989626990145
52,00-01_0,07-01_5,0.0068219873752158
53,00-01_1,00-01_1,0.0
54,00-01_1,00-01_2,1.2028301513394418e-21
55,00-01_1,00-01_3,3.6900741478718005e-76
56,00-01_1,00-01_4,3.84044015246876e-105
57,00-01_1,00-01_5,7.601807558245035e-93
58,00-01_1,01-00_1,0.0010005357048101
59,00-01_1,01-00_3,0.0003659394417595
60,00-01_1,01-00_4,0.0016102427551238
61,00-01_1,01-00_5,0.0002674966671959
62,00-01_1,01-01_1,5.909966185329288e-10
63,00-01_1,01-01_2,0.002244663983613
64,00-01_1,01-01_3,1.6138691161293076e-08
65,00-01_1,01-01_4,6.070694526414129e-10
66,00-01_1,01-01_5,1.06233451438881e-08
67,00-01_1,02-00_1,0.0125445778492835
68,00-01_1,02-00_2,0.0150880476251436
69,00-01_1,02-00_3,0.0106606543221808
70,00-01_1,02-00_4,0.0099988131053062
71,00-01_1,02-00_5,0.0054317988476577
72,00-01_1,02-01_1,1.081102033063071e-11
73,00-01_1,02-01_2,7.01397753694221e-05
74,00-01_1,02-01_3,3.9826026114914e-11
75,00-01_1,02-01_4,3.2757161998660854e-11
76,00-01_1,02-01_5,1.0802009045780569e-10
77,00-01_1,03-00_1,0.0170060881817601
78,00-01_1,03-00_4,0.0006927771175296
79,00-01_1,03-01_1,7.773992823478463e-07
80,00-01_1,03-01_2,0.0041069515358941
81,00-01_1,03-01_3,1.621570933683595e-07
82,00-01_1,03-01_4,4.840386479440044e-08
83,00-01_1,03-01_5,2.154729164948038e-05
84,00-01_1,04-00_0,0.0307096866380356
85,00-01_1,04-00_1,1.1727035553990314e-05
86,00-01_1,04-00_2,0.0007629724597873
87,00-01_1,04-00_3,1.294907866597546e-05
88,00-01_1,04-00_4,3.5873112136832304e-05
89,00-01_1,04-00_5,1.2957432770807244e-07
90,00-01_1,04-01_1,1.1131377386541073e-12
91,00-01_1,04-01_2,0.0056397013724747
92,00-01_1,04-01_3,4.639349947232645e-13
93,00-01_1,04-01_4,1.1129968786429586e-12
94,00-01_1,04-01_5,2.890009270941488e-13
95,00-01_1,05-00_3,0.0196146834550124
96,00-01_1,05-00_4,0.0070099317629521
97,00-01_1,05-01_1,0.0173835107770647
98,00-01_1,05-01_2,0.0469762019911283
99,00-01_1,05-01_3,0.0001235518548409
100,00-01_1,05-01_4,9.562872251023845e-05
101,00-01_1,06-00_0,0.0145900787660539
102,00-01_1,06-00_1,0.0348108491034827
103,00-01_1,06-00_2,0.0129142555948609
104,00-01_1,06-00_3,0.0171786176708935
105,00-01_1,06-00_4,0.0047177344442771
106,00-01_1,06-00_5,0.032383472341873
107,00-01_1,06-01_0,0.0005568633589845
108,00-01_1,06-01_1,1.2402691022432864e-10
109,00-01_1,06-01_2,1.0051697610245024e-06
110,00-01_1,06-01_3,6.137696033661344e-13
111,00-01_1,06-01_4,8.09321028447094e-13
112,00-01_1,06-01_5,1.3090502401845633e-12
113,00-01_1,07-00_1,9.078165624705184e-05
114,00-01_1,07-00_2,0.0089999388958162
115,00-01_1,07-00_3,9.296318750285768e-05
116,00-01_1,07-00_4,2.282039937671469e-05
117,00-01_1,07-00_5,0.0002557638325233
118,00-01_1,07-01_0,0.0199536541043781
119,00-01_1,07-01_1,1.723152278960035e-05
120,00-01_1,07-01_3,4.112444756596389e-05
121,00-01_1,07-01_4,2.8105555010709364e-05
