,col_a,col_b,pvalue
1409,asrsa_score,srq_score,3.9456547330993565e-24
1408,asrsa_score,oci_score,1.5627409087144565e-07
1407,asrsa_score,asrsb_score,7.478197130684415e-18
1406,asrsa_score,asrsa_score,0.0
1412,asrsb_score,srq_score,5.449268362085059e-16
1411,asrsb_score,oci_score,1.1508116867032885e-13
1410,asrsb_score,asrsb_score,0.0
1405,bai_score,srq_score,1.985275055175606e-52
1404,bai_score,oci_score,1.3973350415173979e-27
1401,bai_score,bai_score,0.0
1403,bai_score,asrsb_score,3.848787771312565e-16
1402,bai_score,asrsa_score,4.219476598454175e-11
1400,dbi_score,srq_score,3.500282159652677e-54
1399,dbi_score,oci_score,2.672485082822018e-26
1395,dbi_score,dbi_score,0.0
1396,dbi_score,bai_score,1.2477272554802066e-37
1398,dbi_score,asrsb_score,5.051226686381442e-11
1397,dbi_score,asrsa_score,5.016370828546272e-18
1414,oci_score,srq_score,8.579888959306971e-26
1413,oci_score,oci_score,0.0
1415,srq_score,srq_score,0.0
