,col_a,col_b,pvalue
0,00-01_0,00-01_0,0.0
1,00-01_0,00-01_1,3.084350605360622e-07
2,00-01_0,00-01_2,2.4976897112761e-13
3,00-01_0,00-01_3,7.477860602703324e-12
4,00-01_0,00-01_4,9.351032409117746e-07
5,00-01_0,00-01_5,4.3712125191588655e-12
6,00-01_0,02-01_0,4.816068520304552e-08
7,00-01_0,06-00_0,7.490644415539454e-07
8,00-01_0,06-01_0,4.978089291022167e-14
9,00-01_0,06-01_2,4.1933469289914575e-09
10,00-01_1,00-01_1,0.0
11,00-01_1,00-01_2,1.2028301513394418e-21
12,00-01_1,00-01_3,3.6900741478718005e-76
13,00-01_1,00-01_4,3.84044015246876e-105
14,00-01_1,00-01_5,7.601807558245035e-93
15,00-01_1,01-01_1,5.909966185329288e-10
16,00-01_1,01-01_3,1.6138691161293076e-08
17,00-01_1,01-01_4,6.070694526414129e-10
18,00-01_1,01-01_5,1.06233451438881e-08
19,00-01_1,02-01_1,1.081102033063071e-11
20,00-01_1,02-01_3,3.9826026114914e-11
21,00-01_1,02-01_4,3.2757161998660854e-11
22,00-01_1,02-01_5,1.0802009045780569e-10
23,00-01_1,03-01_1,7.773992823478463e-07
24,00-01_1,03-01_3,1.621570933683595e-07
25,00-01_1,03-01_4,4.840386479440044e-08
26,00-01_1,04-00_5,1.2957432770807244e-07
27,00-01_1,04-01_1,1.1131377386541073e-12
28,00-01_1,04-01_3,4.639349947232645e-13
29,00-01_1,04-01_4,1.1129968786429586e-12
30,00-01_1,04-01_5,2.890009270941488e-13
31,00-01_1,06-01_1,1.2402691022432864e-10
32,00-01_1,06-01_2,1.0051697610245024e-06
33,00-01_1,06-01_3,6.137696033661344e-13
34,00-01_1,06-01_4,8.09321028447094e-13
35,00-01_1,06-01_5,1.3090502401845633e-12
36,00-01_2,00-01_2,0.0
37,00-01_2,00-01_3,3.193982389320767e-14
38,00-01_2,00-01_4,1.0404697858260267e-20
39,00-01_2,00-01_5,1.1609590458315934e-13
40,00-01_2,01-01_2,5.745150100688382e-10
41,00-01_2,01-01_4,1.978984613975613e-06
42,00-01_2,02-01_2,5.4423548117439824e-11
43,00-01_2,04-00_2,1.200176837436925e-06
44,00-01_2,06-01_2,9.186197988834125e-14
45,00-01_3,00-01_3,0.0
46,00-01_3,00-01_4,4.952172150714775e-87
47,00-01_3,00-01_5,4.8848179000117894e-104
48,00-01_3,01-01_1,9.776657839084524e-08
49,00-01_3,01-01_3,4.799647639760487e-10
50,00-01_3,01-01_4,1.4550869630279865e-07
51,00-01_3,01-01_5,1.1344553173136705e-07
52,00-01_3,02-01_1,1.3876502543935226e-12
53,00-01_3,02-01_3,3.1557544934559058e-15
54,00-01_3,02-01_4,2.702661203710814e-12
55,00-01_3,02-01_5,6.300784158881433e-12
56,00-01_3,03-00_4,9.22948178157358e-07
57,00-01_3,03-01_3,3.580096676802046e-07
58,00-01_3,04-00_3,3.825778125597669e-06
59,00-01_3,04-00_5,3.580034220226144e-07
60,00-01_3,04-01_1,6.892521240454731e-10
61,00-01_3,04-01_3,2.7498559276062664e-11
62,00-01_3,04-01_4,1.0429494176956114e-10
63,00-01_3,04-01_5,1.8968027110882879e-10
64,00-01_3,06-01_1,3.645171180703343e-09
65,00-01_3,06-01_3,2.284231271399764e-15
66,00-01_3,06-01_4,1.0248357236480804e-10
67,00-01_3,06-01_5,1.3443077729411516e-12
68,00-01_3,07-00_3,2.923433219239111e-06
69,00-01_3,07-00_4,3.684204821791777e-06
70,00-01_4,00-01_4,0.0
71,00-01_4,00-01_5,9.298759480406794e-59
72,00-01_4,01-01_1,4.689901351103701e-10
73,00-01_4,01-01_3,1.940560468902943e-09
74,00-01_4,01-01_4,3.6166399878828347e-11
75,00-01_4,01-01_5,7.195506984331496e-08
76,00-01_4,02-01_1,2.863412434605184e-12
77,00-01_4,02-01_3,1.1795941716435576e-12
78,00-01_4,02-01_4,1.0504112697233244e-13
79,00-01_4,02-01_5,3.9447425992757585e-11
80,00-01_4,03-01_1,8.321308153299585e-07
81,00-01_4,03-01_3,6.621427267299869e-07
82,00-01_4,03-01_4,3.914865218386075e-09
83,00-01_4,04-00_5,5.269967113554595e-07
84,00-01_4,04-01_1,1.764244355322486e-13
85,00-01_4,04-01_3,4.6538748018102e-13
86,00-01_4,04-01_4,9.686944085894391e-15
87,00-01_4,04-01_5,1.619982263869784e-12
88,00-01_4,06-01_1,2.659581908852877e-09
89,00-01_4,06-01_2,1.3209133444769762e-06
90,00-01_4,06-01_3,3.5633785916937574e-14
91,00-01_4,06-01_4,3.4582067034303663e-14
92,00-01_4,06-01_5,9.278774289652582e-12
93,00-01_4,07-00_3,1.0376293717139028e-06
94,00-01_4,07-00_4,1.927617829244172e-07
95,00-01_5,00-01_5,0.0
96,00-01_5,01-01_1,7.666974102785305e-08
97,00-01_5,01-01_3,3.806208213955769e-09
98,00-01_5,01-01_4,4.8797892113380214e-08
99,00-01_5,01-01_5,2.112449828038122e-08
100,00-01_5,02-01_1,1.143404209924806e-10
101,00-01_5,02-01_3,1.220778006049224e-11
102,00-01_5,02-01_4,3.22840866409572e-09
103,00-01_5,02-01_5,1.5366586699352126e-10
104,00-01_5,03-01_3,1.742045277900292e-07
105,00-01_5,04-00_5,9.242322510822138e-07
106,00-01_5,04-01_1,1.1329988683991134e-09
107,00-01_5,04-01_3,1.0945838700399704e-10
108,00-01_5,04-01_4,1.3156016615717836e-09
109,00-01_5,04-01_5,2.9328903714715344e-11
110,00-01_5,06-01_1,3.4592861439870607e-10
111,00-01_5,06-01_3,1.3013398302696442e-14
112,00-01_5,06-01_4,3.7602978739853164e-10
113,00-01_5,06-01_5,3.839404775012085e-15
114,01-00_0,01-00_0,0.0
115,01-00_0,01-00_2,2.041269170253594e-36
116,01-00_0,01-00_3,2.358107243810473e-09
