,col_a,col_b,rvalue
0,00-01_0,00-01_0,1.0
1,00-01_0,00-01_2,0.400436627027728
2,00-01_0,06-01_0,0.4110828238705628
3,00-01_1,00-01_1,0.9999999999999999
4,00-01_1,00-01_2,0.5076659927909821
5,00-01_1,00-01_3,0.819345795138839
6,00-01_1,00-01_4,0.8871869347177057
7,00-01_1,00-01_5,0.8625669447748854
8,00-01_2,00-01_2,0.9999999999999999
9,00-01_2,00-01_3,0.413946816269449
10,00-01_2,00-01_4,0.49730910599193456
11,00-01_2,00-01_5,0.40554082072626674
12,00-01_2,06-01_2,0.40708343451273205
13,00-01_3,00-01_3,1.0
14,00-01_3,00-01_4,0.848954538077141
15,00-01_3,00-01_5,0.8851820175669203
16,00-01_3,02-01_3,0.4284581778608497
17,00-01_3,06-01_3,0.43043005372640836
18,00-01_4,00-01_4,0.9999999999999999
19,00-01_4,00-01_5,0.7573056587914831
20,00-01_4,02-01_4,0.40620109335416765
21,00-01_4,04-01_1,0.4027635967381261
22,00-01_4,04-01_4,0.421513888804847
23,00-01_4,06-01_3,0.41324305818271073
24,00-01_4,06-01_4,0.4134358735022823
25,00-01_5,00-01_5,1.0
26,00-01_5,06-01_3,0.4196592167427239
27,00-01_5,06-01_5,0.42725551111340465
28,01-00_0,01-00_0,0.9999999999999999
29,01-00_0,01-00_2,0.6359120089454362
30,01-00_0,01-01_0,0.473559793527379
31,01-00_1,01-00_1,1.0
32,01-00_1,01-00_3,0.7975321929445272
33,01-00_1,01-00_4,0.856010994878189
34,01-00_1,01-00_5,0.8779245210112403
35,01-00_1,01-01_1,0.5121652687774264
36,01-00_1,01-01_3,0.4471138774214346
37,01-00_1,01-01_4,0.4507080909286926
38,01-00_1,01-01_5,0.4636697939568376
39,01-00_2,01-00_2,1.0
40,01-00_2,01-01_2,0.4038255684139224
41,01-00_3,01-00_3,1.0
42,01-00_3,01-00_4,0.8161653656488479
43,01-00_3,01-00_5,0.8502090062906819
44,01-00_3,01-01_1,0.43350687056209425
45,01-00_3,01-01_3,0.477825092688558
46,01-00_3,01-01_5,0.43874778939004067
47,01-00_4,01-00_4,0.9999999999999999
48,01-00_4,01-00_5,0.7327576426757938
49,01-00_4,01-01_1,0.49121072287844975
