origins,destinations,distances,kmean_group
0,0,8,1
11,11,7,1
12,12,7,1
13,13,7,1
37,37,5,1
38,38,7,1
39,39,6,1
40,40,5,1
41,41,5,1
42,42,5,1
58,58,4,2
64,64,3,4
72,72,6,1
73,73,6,1
74,74,5,1
75,75,3,4
81,81,5,1
82,82,6,1
98,98,3,4
132,132,4,2
135,135,5,2
138,138,5,2
147,147,3,2
167,167,5,4
169,169,6,2
172,172,5,2
177,177,4,2
178,178,6,1
179,179,8,1
180,180,6,1
181,181,7,1
192,192,5,2
213,213,3,2
215,215,4,2
219,219,4,4
235,235,3,4
240,240,5,4
267,267,8,5
268,268,7,5
269,269,9,5
270,270,7,5
271,271,9,5
272,272,8,5
278,278,5,3
288,288,10,0
289,289,5,3
294,294,4,3
302,302,8,5
303,303,8,5
304,304,8,5
305,305,5,3
310,310,8,5
311,311,8,5
312,312,7,5
322,322,7,5
327,327,5,3
361,361,12,0
364,364,7,0
367,367,8,0
376,376,7,0
391,391,6,3
393,393,7,3
401,401,10,0
402,402,7,5
403,403,8,5
404,404,8,5
405,405,8,5
407,407,8,5
408,408,8,5
409,409,9,5
415,415,8,5
416,416,5,0
433,433,7,0
435,435,10,0
439,439,6,3
455,455,6,3
460,460,5,3
