,x,y
0,299,303
1,299,248
2,301,267
3,285,196
4,299,232
5,299,212
6,301,162
7,201,157
8,299,125
9,299,107
10,299,25
11,301,312
12,301,317
13,301,319
14,301,322
15,304,328
16,304,335
17,304,344
18,304,360
19,301,260
20,288,255
21,150,100
22,242,171
23,228,173
24,214,171
25,196,164
26,253,166
27,221,137
28,235,137
29,205,137
30,196,141
31,185,175
32,251,383
33,194,153
34,146,169
35,169,166
36,233,237
37,283,299
38,288,315
39,267,306
40,258,312
41,276,317
42,267,319
43,242,335
44,288,248
45,285,232
46,173,130
47,258,196
48,256,246
49,256,237
50,192,235
51,285,212
52,205,114
53,185,118
54,160,73
55,272,125
56,249,139
57,230,322
58,166,312
59,267,253
60,278,258
61,246,322
62,253,319
63,178,109
64,256,253
65,235,116
66,233,102
67,214,34
68,171,91
69,224,68
70,164,123
71,155,111
72,285,308
73,272,312
74,262,315
75,272,255
76,251,322
77,256,324
78,253,319
79,274,248
80,269,317
81,278,317
82,290,317
83,288,358
84,288,342
85,288,333
86,288,326
87,290,319
88,267,319
89,265,322
90,262,326
91,260,331
92,244,294
93,150,237
94,301,262
95,262,319
96,258,322
97,283,264
98,262,262
99,281,262
100,244,205
101,221,219
102,253,244
103,180,50
104,192,73
105,203,100
106,253,344
107,267,105
108,260,63
109,253,27
110,203,169
111,171,187
112,260,162
113,182,148
114,269,185
115,265,239
116,155,198
117,178,198
118,196,203
119,224,201
120,244,194
121,260,185
122,288,164
123,160,230
124,169,146
125,292,255
126,260,212
127,144,166
128,269,175
129,253,244
130,189,155
131,262,228
132,155,274
133,260,155
134,274,219
135,196,349
136,196,365
137,148,235
138,178,328
139,150,139
140,249,399
141,294,260
142,249,223
143,157,169
144,214,162
145,226,164
146,253,326
147,166,262
148,276,420
149,235,399
150,217,386
151,299,63
152,306,424
153,240,162
154,251,159
155,258,157
156,160,143
157,249,146
158,235,141
159,221,141
160,210,143
161,203,148
162,144,130
163,205,159
164,299,278
165,256,285
166,267,251
167,281,278
168,301,143
169,212,367
170,230,386
171,274,411
172,182,342
173,256,153
174,278,189
175,306,413
176,253,413
177,155,269
178,278,319
179,276,324
180,274,331
181,272,338
182,269,351
183,258,319
184,253,319
185,251,317
186,235,308
187,182,269
188,278,173
189,272,146
190,262,148
191,262,317
192,182,306
193,283,146
194,258,367
195,299,194
196,288,180
197,301,178
198,267,214
199,304,397
200,304,379
201,281,376
202,228,342
203,242,258
204,244,358
205,212,255
206,230,274
207,198,280
208,276,395
209,260,223
210,217,354
211,233,370
212,217,324
213,169,287
214,198,324
215,164,299
216,219,296
217,269,201
218,269,246
219,260,251
220,274,235
221,260,137
222,235,130
223,214,127
224,198,130
225,187,137
226,180,159
227,144,201
228,192,180
229,208,185
230,226,185
231,244,180
232,258,175
233,267,169
234,146,201
235,262,255
236,276,203
237,278,246
238,288,253
239,278,248
240,267,258
241,290,255
242,292,258
243,265,157
244,274,159
245,278,162
246,198,150
247,189,148
248,310,198
249,406,155
250,315,258
251,463,95
252,365,169
253,379,169
254,393,171
255,411,162
256,351,164
257,383,132
258,367,134
259,397,137
260,406,141
261,425,173
262,358,383
263,411,153
264,468,164
265,441,162
266,374,235
267,317,301
268,315,317
269,336,306
270,347,312
271,329,317
272,338,319
273,367,335
274,313,251
275,313,235
276,429,127
277,345,196
278,347,244
279,347,237
280,415,235
281,313,214
282,393,114
283,413,118
284,447,68
285,329,125
286,354,139
287,379,322
288,454,310
289,338,253
290,324,260
291,361,322
292,354,322
293,425,107
294,347,251
295,365,114
296,370,100
297,383,31
298,436,86
299,374,63
300,438,121
301,450,109
302,317,310
303,331,312
304,342,317
305,333,258
306,358,322
307,351,324
308,354,319
309,329,248
310,336,319
311,326,317
312,313,319
313,322,360
314,320,344
315,320,335
316,317,326
317,315,322
318,340,322
319,340,322
320,345,326
321,347,333
322,361,294
323,470,235
324,347,322
325,349,322
326,320,267
327,342,262
328,322,262
329,358,205
330,383,214
331,351,244
332,422,47
333,411,73
334,399,100
335,356,344
336,336,105
337,340,63
338,345,25
339,404,169
340,441,182
341,345,162
342,425,146
343,336,185
344,338,239
345,454,194
346,427,196
347,409,201
348,381,196
349,361,191
350,347,182
351,315,164
352,452,228
353,436,143
354,308,258
355,342,212
356,475,164
357,336,175
358,351,244
359,415,153
360,338,228
361,466,269
362,345,155
363,324,219
364,422,349
365,420,365
366,468,230
367,438,326
368,459,132
369,363,399
370,306,262
371,356,223
372,454,164
373,393,162
374,379,159
375,356,326
376,450,260
377,338,422
378,381,399
379,399,388
380,367,159
381,356,157
382,347,157
383,447,139
384,356,143
385,370,139
386,381,139
387,395,143
388,402,146
389,470,127
390,399,157
391,347,285
392,338,251
393,320,278
394,402,370
395,383,386
396,336,411
397,441,342
398,347,150
399,324,189
400,361,413
401,463,264
402,329,322
403,331,324
404,333,331
405,336,338
406,342,354
407,347,319
408,351,319
409,356,317
410,370,306
411,429,269
412,324,173
413,331,146
414,342,148
415,345,319
416,431,306
417,320,146
418,349,370
419,315,182
420,333,214
421,326,376
422,383,342
423,363,255
424,370,356
425,397,255
426,377,271
427,406,280
428,333,395
429,342,223
430,397,354
431,377,370
432,395,324
433,443,285
434,413,324
435,454,296
436,386,296
437,333,201
438,333,246
439,342,251
440,326,237
441,342,134
442,365,127
443,386,127
444,404,130
445,415,134
446,427,157
447,468,196
448,415,180
449,402,185
450,381,182
451,363,178
452,349,173
453,338,169
454,470,198
455,342,255
456,322,205
457,322,248
458,315,255
459,322,251
460,338,260
461,313,258
462,313,260
463,340,157
464,331,159
465,326,164
466,406,150
467,415,146
