,x,y
0,290,235
1,287,196
2,290,208
3,281,151
4,287,181
5,289,164
6,293,123
7,216,121
8,296,96
9,296,80
10,299,25
11,290,241
12,290,246
13,290,247
14,290,252
15,290,257
16,290,263
17,290,271
18,290,286
19,288,202
20,278,201
21,185,83
22,249,131
23,238,132
24,227,132
25,212,127
26,259,128
27,233,104
28,245,105
29,222,106
30,215,110
31,205,134
32,246,306
33,212,120
34,179,133
35,194,128
36,235,181
37,273,232
38,276,245
39,258,234
40,248,237
41,265,243
42,257,243
43,236,255
44,277,195
45,275,181
46,198,98
47,260,151
48,252,189
49,252,181
50,203,178
51,278,166
52,222,85
53,208,90
54,194,61
55,272,93
56,256,108
57,227,242
58,188,248
59,260,196
60,271,200
61,239,241
62,244,242
63,202,82
64,252,193
65,244,85
66,241,75
67,235,32
68,198,71
69,239,52
70,193,94
71,189,89
72,275,239
73,262,240
74,253,240
75,264,198
76,241,242
77,245,247
78,246,242
79,266,193
80,259,242
81,268,244
82,278,246
83,274,283
84,275,268
85,275,261
86,275,255
87,277,251
88,257,247
89,255,248
90,252,251
91,251,256
92,239,223
93,182,189
94,289,205
95,252,245
96,249,245
97,275,206
98,257,201
99,272,204
100,248,158
101,230,166
102,251,187
103,209,44
104,214,58
105,218,75
106,246,267
107,268,77
108,266,52
109,264,27
110,218,130
111,193,143
112,264,124
113,203,113
114,269,143
115,259,185
116,182,153
117,200,151
118,212,154
119,233,152
120,249,148
121,261,142
122,283,127
123,182,177
124,195,112
125,282,202
126,260,163
127,181,135
128,270,135
129,251,187
130,209,121
131,260,176
132,182,217
133,264,121
134,269,169
135,203,274
136,207,291
137,176,184
138,191,257
139,184,109
140,244,321
141,284,205
142,250,172
143,186,131
144,227,124
145,238,124
146,243,249
147,182,202
148,266,340
149,233,321
150,221,308
151,297,52
152,292,345
153,247,124
154,256,122
155,262,121
156,189,111
157,254,113
158,245,111
159,234,109
160,224,112
161,218,115
162,181,106
163,221,123
164,290,217
165,250,218
166,260,194
167,272,216
168,295,109
169,216,292
170,230,306
171,264,331
172,197,271
173,261,117
174,274,145
175,290,334
176,248,333
177,178,211
178,266,249
179,264,251
180,262,256
181,261,263
182,258,277
183,249,242
184,245,241
185,242,239
186,231,232
187,194,206
188,276,133
189,272,112
190,266,115
191,252,241
192,193,237
193,281,112
194,252,291
195,290,150
196,282,139
197,293,136
198,266,166
199,290,319
200,290,301
201,270,298
202,227,262
203,242,197
204,239,278
205,216,195
206,230,208
207,206,215
208,266,316
209,259,172
210,218,274
211,233,291
212,217,246
213,185,223
214,205,250
215,183,235
216,221,223
217,267,154
218,263,191
219,255,193
220,266,183
221,264,103
222,245,98
223,230,97
224,216,100
225,208,105
226,203,124
227,176,158
228,210,139
229,221,142
230,236,142
231,251,139
232,261,135
233,269,130
234,182,162
235,256,196
236,272,157
237,269,192
238,277,199
239,270,194
240,260,199
241,278,201
242,281,203
243,268,121
244,275,124
245,277,127
246,215,118
247,209,115
248,301,151
249,385,124
250,302,201
251,432,86
252,350,132
253,362,133
254,374,133
255,390,129
256,339,128
257,366,106
258,353,106
259,377,108
260,386,112
261,399,137
262,341,310
263,389,121
264,437,137
265,413,131
266,356,184
267,307,233
268,305,245
269,325,236
270,337,240
271,319,246
272,330,246
273,353,260
274,299,195
275,299,181
276,405,101
277,332,152
278,332,190
279,332,184
280,395,183
281,301,166
282,374,86
283,392,91
284,419,64
285,320,94
286,342,109
287,365,247
288,429,255
289,323,198
290,312,202
291,352,247
292,347,246
293,399,85
294,333,196
295,350,86
296,353,76
297,368,32
298,410,73
299,359,53
300,413,97
301,422,92
302,306,241
303,321,242
304,333,243
305,320,200
306,350,246
307,341,250
308,345,246
309,314,195
310,329,244
311,317,246
312,305,246
313,309,285
314,307,270
315,306,262
316,305,256
317,305,252
318,329,250
319,331,250
320,333,254
321,335,259
322,347,228
323,441,193
324,336,248
325,338,248
326,308,208
327,329,203
328,310,205
329,345,159
330,365,168
331,335,189
332,398,45
333,389,60
334,379,76
335,342,270
336,324,78
337,329,52
338,335,27
339,383,133
340,411,147
341,333,125
342,400,116
343,323,144
344,322,187
345,425,157
346,402,154
347,386,157
348,363,154
349,346,149
350,333,143
351,305,126
352,424,181
353,410,115
354,295,202
355,331,164
356,444,139
357,324,136
358,338,190
359,394,123
360,323,178
361,437,223
362,334,121
363,312,171
364,400,281
365,399,298
366,438,189
367,416,265
368,430,113
369,344,325
370,294,205
371,342,173
372,424,135
373,372,126
374,362,126
375,344,252
376,423,207
377,320,343
378,361,327
379,380,316
380,352,125
381,342,123
382,337,121
383,419,114
384,344,113
385,355,112
386,365,111
387,375,113
388,383,117
389,440,109
390,380,124
391,335,220
392,323,196
393,308,217
394,381,298
395,363,312
396,319,334
397,416,280
398,338,118
399,313,147
400,341,337
401,434,216
402,317,251
403,320,254
404,321,259
405,323,265
406,328,280
407,340,245
408,344,244
409,347,243
410,359,236
411,407,211
412,314,135
413,323,113
414,332,115
415,338,244
416,410,243
417,311,112
418,334,294
419,304,139
420,321,167
421,313,301
422,365,268
423,348,200
424,350,283
425,377,199
426,361,212
427,389,220
428,317,319
429,330,174
430,377,280
431,359,296
432,376,250
433,421,229
434,392,256
435,428,242
436,371,227
437,321,156
438,318,193
439,328,195
440,311,184
441,332,104
442,352,100
443,369,99
444,383,101
445,395,107
446,402,127
447,439,163
448,392,142
449,378,144
450,362,143
451,347,140
452,336,136
453,328,131
454,443,166
455,328,198
456,311,158
457,308,193
458,302,199
459,308,195
460,325,202
461,299,201
462,299,203
463,329,122
464,321,124
465,317,127
466,386,119
467,392,117
