,x,y
0,301,226
1,301,178
2,301,195
3,290,139
4,301,165
5,300,150
6,300,116
7,214,122
8,300,84
9,300,69
10,299,25
11,302,233
12,302,239
13,301,244
14,302,256
15,302,263
16,302,271
17,302,279
18,301,291
19,301,185
20,291,187
21,172,90
22,246,131
23,235,133
24,224,133
25,210,127
26,258,126
27,233,97
28,246,97
29,221,98
30,212,104
31,199,137
32,254,307
33,211,118
34,165,139
35,186,130
36,241,181
37,288,225
38,291,241
39,274,232
40,266,242
41,281,244
42,274,248
43,249,268
44,292,178
45,290,165
46,195,92
47,263,148
48,265,181
49,263,176
50,206,184
51,290,151
52,221,72
53,206,80
54,183,65
55,273,81
56,256,101
57,242,256
58,175,258
59,274,187
60,284,191
61,258,258
62,264,257
63,199,74
64,265,189
65,243,72
66,241,64
67,232,33
68,191,70
69,238,48
70,188,90
71,179,91
72,289,233
73,278,239
74,270,245
75,277,191
76,261,258
77,264,259
78,265,255
79,280,179
80,277,248
81,284,246
82,293,245
83,285,290
84,286,278
85,287,269
86,290,262
87,291,256
88,274,256
89,273,259
90,269,262
91,265,267
92,254,227
93,162,198
94,301,189
95,270,257
96,267,258
97,286,197
98,268,198
99,286,194
100,251,157
101,233,167
102,261,183
103,203,45
104,210,54
105,217,64
106,257,276
107,270,65
108,267,47
109,263,26
110,214,131
111,187,148
112,264,122
113,200,111
114,272,138
115,272,173
116,174,158
117,195,155
118,211,158
119,233,154
120,250,147
121,262,140
122,288,118
123,178,184
124,191,111
125,296,185
126,265,159
127,160,144
128,272,131
129,260,185
130,206,119
131,270,167
132,165,227
133,265,118
134,280,158
135,201,282
136,199,299
137,165,191
138,188,266
139,172,114
140,250,321
141,297,189
142,255,170
143,176,134
144,226,125
145,236,126
146,260,262
147,180,209
148,271,341
149,233,325
150,217,313
151,300,48
152,300,345
153,246,125
154,255,122
155,261,119
156,182,111
157,254,111
158,245,109
159,234,109
160,225,111
161,218,114
162,164,114
163,219,124
164,301,205
165,264,217
166,273,185
167,286,208
168,300,101
169,216,297
170,232,310
171,273,330
172,186,282
173,261,115
174,280,138
175,300,333
176,249,334
177,168,219
178,282,255
179,280,259
180,276,266
181,273,273
182,269,284
183,268,252
184,265,252
185,260,250
186,247,241
187,199,212
188,280,128
189,274,107
190,266,110
191,272,251
192,197,245
193,284,104
194,261,294
195,300,138
196,288,130
197,300,127
198,273,158
199,301,319
200,301,303
201,280,301
202,234,272
203,251,198
204,246,286
205,225,198
206,241,212
207,216,219
208,275,316
209,266,167
210,222,283
211,237,296
212,227,257
213,185,231
214,212,259
215,175,244
216,233,231
217,273,148
218,276,178
219,268,185
220,280,168
221,265,94
222,245,87
223,228,87
224,215,91
225,206,98
226,198,125
227,162,165
228,206,141
229,218,144
230,233,143
231,248,138
232,260,133
233,269,128
234,161,172
235,269,189
236,280,147
237,284,176
238,290,183
239,284,179
240,273,194
241,293,185
242,293,189
243,269,118
244,276,120
245,280,121
246,213,117
247,207,111
248,310,140
249,381,120
250,311,186
251,419,86
252,348,130
253,360,131
254,371,131
255,385,125
256,340,126
257,363,96
258,351,96
259,374,98
260,382,104
261,394,135
262,347,305
263,385,118
264,426,136
265,407,127
266,357,178
267,315,224
268,313,239
269,328,231
270,336,239
271,321,242
272,328,246
273,352,265
274,311,177
275,313,165
276,399,91
277,334,147
278,336,179
279,337,174
280,390,181
281,312,151
282,374,73
283,389,79
284,408,63
285,325,81
286,340,100
287,359,252
288,416,253
289,327,186
290,319,191
291,344,254
292,338,253
293,395,73
294,335,187
295,354,71
296,355,63
297,364,31
298,401,68
299,360,47
300,406,88
301,413,88
302,314,232
303,325,237
304,332,242
305,324,189
306,341,254
307,339,257
308,337,252
309,322,179
310,325,246
311,319,245
312,310,243
313,317,289
314,317,278
315,316,269
316,315,260
317,313,255
318,328,254
319,331,256
320,334,260
321,337,265
322,346,224
323,427,194
324,333,254
325,335,255
326,315,196
327,332,196
328,317,193
329,347,155
330,365,165
331,338,181
332,392,44
333,386,54
334,378,64
335,344,273
336,328,65
337,332,46
338,334,25
339,380,130
340,406,145
341,333,122
342,394,109
343,326,138
344,330,172
345,418,154
346,399,151
347,385,155
348,363,152
349,347,145
350,334,139
351,311,119
352,416,179
353,403,108
354,307,185
355,333,158
356,428,141
357,325,131
358,339,184
359,388,118
360,330,165
361,424,223
362,333,118
363,321,157
364,394,279
365,394,295
366,428,187
367,407,262
368,420,111
369,351,319
370,306,189
371,343,168
372,415,131
373,370,124
374,360,125
375,342,259
376,413,205
377,327,341
378,366,322
379,380,311
380,351,124
381,341,121
382,336,119
383,411,108
384,341,111
385,351,108
386,361,108
387,371,110
388,377,113
389,426,111
390,377,122
391,337,215
392,327,184
393,316,207
394,381,294
395,367,307
396,329,329
397,405,278
398,335,114
399,319,138
400,348,333
401,423,214
402,322,254
403,325,258
404,327,265
405,329,272
406,333,282
407,333,250
408,338,248
409,341,246
410,354,237
411,397,209
412,319,128
413,324,107
414,330,110
415,331,248
416,399,241
417,314,104
418,340,293
419,311,130
420,327,157
421,321,300
422,365,269
423,348,195
424,354,282
425,374,195
426,358,209
427,381,217
428,327,315
429,333,166
430,376,279
431,362,293
432,372,253
433,410,226
434,387,255
435,418,239
436,366,227
437,326,147
438,326,177
439,333,183
440,322,167
441,333,94
442,352,86
443,367,86
444,381,90
445,389,98
446,396,123
447,428,161
448,388,139
449,377,142
450,362,141
451,347,137
452,336,132
453,328,127
454,428,168
455,332,187
456,319,147
457,319,176
458,312,183
459,318,178
460,328,192
461,311,184
462,309,188
463,328,118
464,322,120
465,319,121
466,381,115
467,387,110
